Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,6.92683e-05
2.25,6.92683e-05
2.5,6.92683e-05
2.75,6.92683e-05
3,0.250054
3.25,0.250054
3.5,0.250054
3.75,0.250054
4,0.250054
4.25,0.250054
4.5,0.250054
4.75,0.250431
5,0.250431
5.25,0.250431
5.5,0.250431
5.75,0.250431
6,0.222716
6.25,0.222716
6.5,0.222716
6.75,0.200447
7,0.200447
7.25,0.200447
7.5,0.200447
7.75,0.200447
8,0.133648
8.25,0.158427
8.5,0.136832
8.75,0.167267
9,0.258629
9.25,0.222871
9.5,0.250586
9.75,0.229773
10,0.260582
10.25,0.276561
10.5,0.271879
10.75,0.243969
11,0.242848
11.25,0.211805
11.5,0.205894
11.75,0.211677
12,0.19502
12.25,0.191578
12.5,0.182863
12.75,0.186692
13,0.178729
13.25,0.192039
13.5,0.191761
13.75,0.183899
14,0.179553
14.25,0.177802
14.5,0.174351
14.75,0.17485
15,0.168632
15.25,0.166425
15.5,0.168701
15.75,0.168748
16,0.172159
16.25,0.173954
16.5,0.177457
16.75,0.173551
17,0.171935
17.25,0.180183
17.5,0.180409
17.75,0.185149
18,0.18452
18.25,0.181837
18.5,0.189142
18.75,0.188326
19,0.19462
19.25,0.195991
19.5,0.196812
19.75,0.206532
20,0.208315
20.25,0.203932
20.5,0.208428
20.75,0.210859
21,0.210341
21.25,0.213692
21.5,0.219246
21.75,0.222311
22,0.225235
22.25,0.224639
22.5,0.223519
22.75,0.222711
23,0.227364
23.25,0.223745
23.5,0.225753
23.75,0.229537
24,0.233427
24.25,0.237572
24.5,0.242823
24.75,0.240005
25,0.238801
25.25,0.239032
25.5,0.240547
25.75,0.241076
26,0.239185
26.25,0.237057
26.5,0.236733
26.75,0.238027
27,0.238546
27.25,0.239385
27.5,0.237171
27.75,0.237536
28,0.236852
28.25,0.236176
28.5,0.235827
28.75,0.235401
29,0.235576
29.25,0.233987
29.5,0.234845
29.75,0.23717
30,0.240062
30.25,0.240592
30.5,0.240664
30.75,0.241589
31,0.24236
31.25,0.24134
31.5,0.241557
31.75,0.242467
32,0.241503
32.25,0.240851
32.5,0.240742
32.75,0.241373
33,0.241975
33.25,0.242486
33.5,0.241813
33.75,0.241931
34,0.241257
34.25,0.24097
34.5,0.240394
34.75,0.240794
35,0.239756
35.25,0.238819
35.5,0.238942
35.75,0.238719
36,0.238848
36.25,0.238656
36.5,0.23861
36.75,0.238468
37,0.238502
37.25,0.238388
37.5,0.238336
37.75,0.238367
38,0.237886
38.25,0.238442
38.5,0.239011
38.75,0.239419
39,0.239629
39.25,0.239814
39.5,0.240251
39.75,0.240474
40,0.240194
40.25,0.240121
40.5,0.240141
40.75,0.240256
41,0.239914
41.25,0.239833
41.5,0.239794
41.75,0.239684
42,0.240263
42.25,0.240416
42.5,0.24056
42.75,0.240931
43,0.241103
43.25,0.241407
43.5,0.241719
43.75,0.241971
44,0.242301
44.25,0.242588
44.5,0.242939
44.75,0.243113
45,0.243382
45.25,0.243602
45.5,0.24367
45.75,0.243768
46,0.244027
46.25,0.244097
46.5,0.244378
46.75,0.244819
47,0.24537
47.25,0.24561
47.5,0.245864
47.75,0.246044
48,0.246334
48.25,0.246629
48.5,0.246864
48.75,0.2472
49,0.247496
49.25,0.247812
49.5,0.248085
49.75,0.248296
50,0.248666
50.25,0.249031
50.5,0.249265
50.75,0.249503
51,0.249837
51.25,0.250172
51.5,0.250398
51.75,0.250728
52,0.250952
52.25,0.251103
52.5,0.251368
52.75,0.251642
53,0.251923
53.25,0.252259
53.5,0.252533
53.75,0.252821
54,0.253101
54.25,0.253376
54.5,0.253622
54.75,0.253826
55,0.25396
55.25,0.254121
55.5,0.254388
55.75,0.254551
56,0.254727
56.25,0.254878
56.5,0.255064
56.75,0.25528
57,0.25548
57.25,0.255762
57.5,0.255904
57.75,0.256004
58,0.256163
58.25,0.256443
58.5,0.256656
58.75,0.256791
59,0.256913
59.25,0.257127
59.5,0.257353
59.75,0.257468
60,0.257622
60.25,0.257862
60.5,0.258071
60.75,0.258214
61,0.258341
61.25,0.25844
