Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0.249999
3.25,0.249999
3.5,0.249999
3.75,0.249999
4,0.249999
4.25,0.249999
4.5,0.249999
4.75,0.124999
5,0.124999
5.25,0.124999
5.5,0.124999
5.75,0.124999
6,0.11111
6.25,0.11111
6.5,0.11111
6.75,0.0999994
7,0.0999994
7.25,0.0999994
7.5,0.0999994
7.75,0.0999994
8,0.333329
8.25,0.263154
8.5,0.22727
8.75,0.208331
9,0.161288
9.25,0.138887
9.5,0.149998
9.75,0.124998
10,0.119998
10.25,0.103447
10.5,0.101693
10.75,0.135131
11,0.115786
11.25,0.100914
11.5,0.0940141
11.75,0.093745
12,0.107904
12.25,0.0986758
12.5,0.0935592
12.75,0.0949635
13,0.106943
13.25,0.107681
13.5,0.116447
13.75,0.125525
14,0.12826
14.25,0.145775
14.5,0.154703
14.75,0.152034
15,0.164227
15.25,0.16548
15.5,0.170965
15.75,0.176709
16,0.174922
16.25,0.18028
16.5,0.181469
16.75,0.189038
17,0.185496
17.25,0.180774
17.5,0.180501
17.75,0.177521
18,0.178702
18.25,0.179633
18.5,0.179472
18.75,0.179854
19,0.176972
19.25,0.176272
19.5,0.176781
19.75,0.172997
20,0.174168
20.25,0.180538
20.5,0.182155
20.75,0.183623
21,0.184467
21.25,0.180882
21.5,0.182938
21.75,0.183227
22,0.188333
22.25,0.191472
22.5,0.192417
22.75,0.191811
23,0.192635
23.25,0.196788
23.5,0.198829
23.75,0.19537
24,0.191766
24.25,0.192583
24.5,0.18999
24.75,0.189774
25,0.190347
25.25,0.191419
25.5,0.191813
25.75,0.195191
26,0.198192
26.25,0.199943
26.5,0.19999
26.75,0.199812
27,0.199122
27.25,0.196422
27.5,0.198233
27.75,0.199536
28,0.20154
28.25,0.204781
28.5,0.205508
28.75,0.204673
29,0.206098
29.25,0.206362
29.5,0.208088
29.75,0.207749
30,0.207151
30.25,0.206491
30.5,0.206309
30.75,0.20504
31,0.204388
31.25,0.204144
31.5,0.203028
31.75,0.203143
32,0.203484
32.25,0.203612
32.5,0.20261
32.75,0.20204
33,0.201035
33.25,0.200089
33.5,0.200532
33.75,0.199354
34,0.200829
34.25,0.20115
34.5,0.202324
34.75,0.202351
35,0.203725
35.25,0.204941
35.5,0.205818
35.75,0.206596
36,0.20711
36.25,0.207026
36.5,0.207007
36.75,0.207482
37,0.208597
37.25,0.208713
37.5,0.208676
37.75,0.208875
38,0.209651
38.25,0.209413
38.5,0.210176
38.75,0.210112
39,0.21022
39.25,0.210281
39.5,0.21049
39.75,0.210207
40,0.210568
40.25,0.209969
40.5,0.209596
40.75,0.209663
41,0.209769
41.25,0.210376
41.5,0.210327
41.75,0.210424
42,0.210285
42.25,0.21056
42.5,0.210734
42.75,0.210436
43,0.210626
43.25,0.210666
43.5,0.210727
43.75,0.211321
44,0.211397
44.25,0.211419
44.5,0.211487
44.75,0.211919
45,0.212128
45.25,0.212482
45.5,0.212731
45.75,0.212911
46,0.213374
46.25,0.213851
46.5,0.214085
46.75,0.214384
47,0.214705
47.25,0.215035
47.5,0.215389
47.75,0.215683
48,0.215757
48.25,0.21615
48.5,0.216427
48.75,0.216757
49,0.216946
49.25,0.217215
49.5,0.217411
49.75,0.217797
50,0.217956
50.25,0.21803
50.5,0.218237
50.75,0.218627
51,0.218921
51.25,0.219145
51.5,0.219377
51.75,0.219739
52,0.220159
52.25,0.220596
52.5,0.220883
52.75,0.221113
53,0.221379
53.25,0.221481
53.5,0.221725
53.75,0.221845
54,0.221919
54.25,0.222085
54.5,0.222266
54.75,0.222471
55,0.222658
55.25,0.222806
55.5,0.222861
55.75,0.22296
56,0.223191
56.25,0.223375
56.5,0.223504
56.75,0.223681
57,0.223739
57.25,0.223757
57.5,0.223929
57.75,0.224079
58,0.2242
58.25,0.224239
58.5,0.224263
58.75,0.224321
59,0.224449
59.25,0.224432
59.5,0.224445
59.75,0.224531
60,0.224569
60.25,0.224578
60.5,0.224516
60.75,0.224571
61,0.224624
61.25,0.22469
61.5,0.224768
