Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0.999931
2.25,0.999931
2.5,0.999931
2.75,0.999931
3,0.499948
3.25,0.499948
3.5,0.499948
3.75,0.499948
4,0.499948
4.25,0.499948
4.5,0.499948
4.75,0.62457
5,0.62457
5.25,0.62457
5.5,0.62457
5.75,0.62457
6,0.666173
6.25,0.666173
6.5,0.666173
6.75,0.699554
7,0.699554
7.25,0.699554
7.5,0.699554
7.75,0.699554
8,0.533023
8.25,0.578419
8.5,0.635898
8.75,0.624403
9,0.580083
9.25,0.638242
9.5,0.599416
9.75,0.645229
10,0.61942
10.25,0.619992
10.5,0.626427
10.75,0.620901
11,0.641366
11.25,0.687281
11.5,0.700092
11.75,0.694578
12,0.697076
12.25,0.709746
12.5,0.723577
12.75,0.718344
13,0.714328
13.25,0.70028
13.5,0.691793
13.75,0.690576
14,0.692187
14.25,0.676423
14.5,0.670946
14.75,0.673115
15,0.667141
15.25,0.668095
15.5,0.660334
15.75,0.654543
16,0.652918
16.25,0.645767
16.5,0.641075
16.75,0.637411
17,0.642568
17.25,0.639044
17.5,0.639091
17.75,0.63733
18,0.636777
18.25,0.63853
18.5,0.631386
18.75,0.63182
19,0.628408
19.25,0.627737
19.5,0.626407
19.75,0.620472
20,0.617517
20.25,0.61553
20.5,0.609417
20.75,0.605518
21,0.605192
21.25,0.605426
21.5,0.597816
21.75,0.594463
22,0.586432
22.25,0.583889
22.5,0.584064
22.75,0.585478
23,0.580001
23.25,0.579467
23.5,0.575417
23.75,0.575093
24,0.574807
24.25,0.569845
24.5,0.567188
24.75,0.570221
25,0.570852
25.25,0.569549
25.5,0.56764
25.75,0.563733
26,0.562624
26.25,0.563
26.5,0.563277
26.75,0.562161
27,0.562332
27.25,0.564193
27.5,0.564596
27.75,0.562928
28,0.561608
28.25,0.559044
28.5,0.558665
28.75,0.559926
29,0.558326
29.25,0.559652
29.5,0.557067
29.75,0.555082
30,0.552787
30.25,0.552917
30.5,0.553028
30.75,0.553371
31,0.553252
31.25,0.554516
31.5,0.555415
31.75,0.554389
32,0.555013
32.25,0.555537
32.5,0.556648
32.75,0.556587
33,0.556991
33.25,0.557425
33.5,0.557655
33.75,0.558715
34,0.557914
34.25,0.55788
34.5,0.557282
34.75,0.556854
35,0.556519
35.25,0.556239
35.5,0.555239
35.75,0.554685
36,0.554042
36.25,0.554317
36.5,0.554382
36.75,0.55405
37,0.552901
37.25,0.552899
37.5,0.552988
37.75,0.552758
38,0.552463
38.25,0.552145
38.5,0.550813
38.75,0.55047
39,0.55015
39.25,0.549905
39.5,0.549259
39.75,0.54932
40,0.549238
40.25,0.54991
40.5,0.550263
40.75,0.550081
41,0.550317
41.25,0.54979
41.5,0.54988
41.75,0.549892
42,0.549452
42.25,0.549024
42.5,0.548706
42.75,0.548633
43,0.548271
43.25,0.547928
43.5,0.547555
43.75,0.546709
44,0.546302
44.25,0.545993
44.5,0.545574
44.75,0.544968
45,0.544491
45.25,0.543916
45.5,0.5436
45.75,0.543321
46,0.542599
46.25,0.542051
46.5,0.541537
46.75,0.540797
47,0.539925
47.25,0.539355
47.5,0.538748
47.75,0.538273
48,0.537909
48.25,0.537221
48.5,0.53671
48.75,0.536043
49,0.535558
49.25,0.534973
49.5,0.534504
49.75,0.533907
50,0.533377
50.25,0.532939
50.5,0.532498
50.75,0.53187
51,0.531241
51.25,0.530682
51.5,0.530225
51.75,0.529534
52,0.528888
52.25,0.528301
52.5,0.527749
52.75,0.527245
53,0.526698
53.25,0.52626
53.5,0.525742
53.75,0.525334
54,0.52498
54.25,0.524539
54.5,0.524112
54.75,0.523703
55,0.523382
55.25,0.523073
55.5,0.522751
55.75,0.522489
56,0.522082
56.25,0.521747
56.5,0.521432
56.75,0.521039
57,0.520782
57.25,0.520482
57.5,0.520167
57.75,0.519917
58,0.519637
58.25,0.519317
58.5,0.519081
58.75,0.518887
59,0.518638
59.25,0.518441
59.5,0.518202
59.75,0.518001
60,0.517808
60.25,0.51756
60.5,0.517413
60.75,0.517214
61,0.517034
61.25,0.51687
61.5,0.516745
