Time,normal_interactions,curtailed_interactions
0,233129,233129
0.25,233128,233128
0.5,233129,233129
0.75,233129,233129
1,233129,233129
1.25,233125,233125
1.5,233125,233125
1.75,233125,233125
2,233125,233125
2.25,233125,233125
2.5,233123,233123
2.75,233123,233123
3,233121,233121
3.25,233121,233121
3.5,233121,233121
3.75,233121,233121
4,233121,233121
4.25,233121,233121
4.5,233121,233121
4.75,233123,233123
5,233121,233121
5.25,233125,233125
5.5,233124,233124
5.75,233124,233124
6,233124,233124
6.25,233124,233124
6.5,233124,233124
6.75,233124,233124
7,233125,233125
7.25,233124,233124
7.5,233121,233121
7.75,233119,233119
8,233121,233121
8.25,233118,233118
8.5,233118,233118
8.75,233116,233116
9,233113,233113
9.25,233113,233113
9.5,233113,233113
9.75,233113,233113
10,233113,233113
10.25,233108,233108
10.5,233105,233105
10.75,233100,233100
11,233097,233097
11.25,233098,233098
11.5,233086,233086
11.75,233080,233080
12,233078,233078
12.25,233063,233063
12.5,233055,233055
12.75,233043,233043
13,233032,233032
13.25,233028,233028
13.5,233035,233035
13.75,233023,233023
14,233010,233010
14.25,233010,233010
14.5,233001,233001
14.75,232996,232996
15,232988,232988
15.25,232974,232974
15.5,232966,232966
15.75,232949,232949
16,232927,232927
16.25,232932,232932
16.5,232907,232907
16.75,232900,232900
17,232890,232890
17.25,232888,232888
17.5,232862,232862
17.75,232838,232838
18,232819,232819
18.25,232784,232784
18.5,232756,232756
18.75,232727,232727
19,232690,232690
19.25,232673,232673
19.5,232664,232664
19.75,232649,232649
20,232612,232612
20.25,232550,232550
20.5,232521,232521
20.75,232521,232521
21,232506,232506
21.25,232463,232463
21.5,232455,232455
21.75,232385,232385
22,232315,232315
22.25,232277,232277
22.5,232225,232225
22.75,232161,232161
23,232073,232073
23.25,232056,232056
23.5,232010,232010
23.75,231953,231953
24,231915,231915
24.25,231829,231829
24.5,231738,231738
24.75,231666,231666
25,231636,231636
25.25,231511,231511
25.5,231424,231424
25.75,231342,231342
26,231297,231297
26.25,231165,231165
26.5,231063,231063
26.75,230968,230968
27,230822,230822
27.25,230744,230744
27.5,230573,230573
27.75,230410,230410
28,230265,230265
28.25,230105,230105
28.5,230020,230020
28.75,229854,229854
29,229698,229698
29.25,229537,229537
29.5,229367,229367
29.75,229108,229108
30,228813,228813
30.25,228679,228679
30.5,228419,228419
30.75,228189,228189
31,227969,227969
31.25,227743,227743
31.5,227409,227409
31.75,227056,227056
32,226693,226693
32.25,226357,226357
32.5,226068,226068
32.75,225820,225820
33,225487,225487
33.25,225095,225095
33.5,224838,224838
33.75,224406,224406
34,224046,224046
34.25,223632,223632
34.5,223167,223167
34.75,222755,222755
35,222344,222344
35.25,221816,221816
35.5,221357,221357
35.75,220832,220832
36,220297,220297
36.25,219626,219626
36.5,219120,219120
36.75,218537,218537
37,217975,217975
37.25,217340,217340
37.5,216710,216710
37.75,216087,216087
38,215480,215480
38.25,214933,214933
38.5,214299,214299
38.75,213631,213631
39,212820,212820
39.25,212298,212298
39.5,211538,211538
39.75,210953,210953
40,210111,210111
40.25,209530,209530
40.5,208665,208665
40.75,208024,208024
41,207194,207194
41.25,206390,206390
41.5,205789,205789
41.75,205066,205066
42,204282,204282
42.25,203785,203785
42.5,202976,202976
42.75,202360,202360
43,201634,201634
43.25,200887,200887
43.5,200326,200326
43.75,199614,199614
44,198986,198986
44.25,198272,198272
44.5,197625,197625
44.75,197098,197098
45,196671,196671
45.25,196051,196051
45.5,195538,195538
45.75,195059,195059
46,194529,194529
46.25,194141,194141
46.5,193689,193689
46.75,193300,193300
47,193125,193125
47.25,193123,193123
47.5,192856,192856
47.75,192598,192598
48,192435,192435
48.25,192222,192222
48.5,192234,192234
48.75,192430,192430
49,192679,192679
49.25,192641,192641
49.5,192825,192825
49.75,192950,192950
50,192920,192920
50.25,193259,193259
50.5,193404,193404
50.75,193769,193769
51,194259,194259
51.25,194603,194603
51.5,194969,194969
51.75,195356,195356
52,195858,195858
52.25,196237,196237
52.5,196739,196739
52.75,197173,197173
53,197516,197516
53.25,198090,198090
53.5,198698,198698
53.75,199174,199174
54,199620,199620
54.25,200275,200275
54.5,201081,201081
54.75,201669,201669
55,202183,202183
55.25,202679,202679
55.5,203323,203323
55.75,204109,204109
56,204716,204716
56.25,205353,205353
56.5,206006,206006
56.75,206519,206519
57,207181,207181
57.25,207763,207763
57.5,208260,208260
57.75,208989,208989
58,209650,209650
58.25,210250,210250
58.5,210805,210805
58.75,211436,211436
59,212120,212120
59.25,212745,212745
59.5,213296,213296
59.75,213882,213882
60,214422,214422
60.25,214914,214914
60.5,215271,215271
60.75,215870,215870
61,216295,216295
61.25,216775,216775
61.5,217134,217134
61.75,217622,217622
62,218048,218048
62.25,218517,218517
62.5,218935,218935
62.75,219329,219329
63,219805,219805
63.25,220117,220117
63.5,220452,220452
63.75,220795,220795
64,221218,221218
64.25,221563,221563
64.5,221881,221881
64.75,222268,222268
65,222639,222639
65.25,222937,222937
65.5,223228,223228
65.75,223562,223562
66,223855,223855
66.25,224203,224203
66.5,224494,224494
66.75,224837,224837
67,225079,225079
67.25,225318,225318
67.5,225551,225551
67.75,225825,225825
68,225992,225992
68.25,226232,226232
68.5,226489,226489
68.75,226650,226650
69,226831,226831
69.25,227060,227060
69.5,227252,227252
69.75,227375,227375
70,227556,227556
70.25,227719,227719
70.5,227886,227886
70.75,228016,228016
71,228148,228148
71.25,228278,228278
71.5,228402,228402
71.75,228552,228552
72,228725,228725
72.25,228846,228846
72.5,228980,228980
72.75,229091,229091
73,229205,229205
73.25,229333,229333
73.5,229432,229432
73.75,229549,229549
74,229645,229645
74.25,229746,229746
74.5,229858,229858
74.75,229961,229961
75,230062,230062
75.25,230128,230128
75.5,230201,230201
75.75,230281,230281
76,230361,230361
76.25,230444,230444
76.5,230517,230517
76.75,230593,230593
77,230654,230654
77.25,230701,230701
77.5,230744,230744
77.75,230793,230793
78,230847,230847
78.25,230908,230908
78.5,230966,230966
78.75,231029,231029
79,231102,231102
79.25,231155,231155
79.5,231209,231209
79.75,231250,231250
80,231297,231297
80.25,231333,231333
80.5,231396,231396
80.75,231429,231429
81,231450,231450
81.25,231487,231487
81.5,231490,231490
81.75,231511,231511
82,231526,231526
82.25,231535,231535
82.5,231551,231551
82.75,231581,231581
83,231618,231618
83.25,231637,231637
83.5,231639,231639
83.75,231651,231651
84,231679,231679
84.25,231703,231703
84.5,231721,231721
84.75,231745,231745
85,231754,231754
85.25,231790,231790
85.5,231814,231814
85.75,231830,231830
86,231847,231847
86.25,231860,231860
86.5,231878,231878
86.75,231898,231898
87,231909,231909
87.25,231918,231918
87.5,231931,231931
87.75,231942,231942
88,231963,231963
88.25,231964,231964
88.5,231981,231981
88.75,231994,231994
89,232004,232004
89.25,232011,232011
89.5,232019,232019
89.75,232028,232028
90,232038,232038
90.25,232051,232051
90.5,232058,232058
90.75,232061,232061
91,232073,232073
91.25,232084,232084
91.5,232091,232091
91.75,232100,232100
92,232107,232107
92.25,232114,232114
92.5,232119,232119
92.75,232128,232128
93,232132,232132
93.25,232132,232132
93.5,232138,232138
93.75,232148,232148
94,232153,232153
94.25,232153,232153
94.5,232162,232162
94.75,232164,232164
95,232173,232173
95.25,232176,232176
95.5,232180,232180
95.75,232187,232187
96,232196,232196
96.25,232194,232194
96.5,232198,232198
96.75,232201,232201
97,232202,232202
97.25,232208,232208
97.5,232209,232209
97.75,232211,232211
98,232217,232217
98.25,232217,232217
98.5,232226,232226
98.75,232229,232229
99,232226,232226
99.25,232232,232232
99.5,232232,232232
99.75,232232,232232
100,232232,232232
100.25,232234,232234
100.5,232231,232231
100.75,232231,232231
101,232230,232230
101.25,232232,232232
101.5,232234,232234
101.75,232238,232238
102,232236,232236
102.25,232236,232236
102.5,232240,232240
102.75,232241,232241
103,232243,232243
103.25,232245,232245
103.5,232241,232241
103.75,232237,232237
104,232240,232240
104.25,232241,232241
104.5,232241,232241
104.75,232241,232241
105,232241,232241
105.25,232243,232243
105.5,232246,232246
105.75,232246,232246
106,232246,232246
106.25,232249,232249
106.5,232249,232249
106.75,232249,232249
107,232249,232249
107.25,232247,232247
107.5,232247,232247
107.75,232247,232247
108,232249,232249
108.25,232249,232249
108.5,232250,232250
108.75,232250,232250
109,232252,232252
109.25,232252,232252
109.5,232252,232252
109.75,232256,232256
110,232257,232257
110.25,232257,232257
110.5,232258,232258
110.75,232260,232260
111,232260,232260
111.25,232261,232261
111.5,232261,232261
111.75,232265,232265
112,232265,232265
112.25,232265,232265
112.5,232265,232265
112.75,232265,232265
113,232265,232265
113.25,232267,232267
113.5,232267,232267
113.75,232268,232268
114,232268,232268
114.25,232268,232268
114.5,232268,232268
114.75,232268,232268
115,232268,232268
115.25,232268,232268
115.5,232268,232268
115.75,232268,232268
116,232268,232268
116.25,232268,232268
116.5,232268,232268
116.75,232268,232268
117,232268,232268
117.25,232268,232268
117.5,232268,232268
117.75,232268,232268
118,232268,232268
118.25,232268,232268
118.5,232268,232268
118.75,232268,232268
119,232268,232268
