Time,num_cases
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,2
2,2
2.25,2
2.5,2
2.75,2
3,2
3.25,3
3.5,3
3.75,3
4,4
4.25,4
4.5,4
4.75,4
5,4
5.25,4
5.5,4
5.75,4
6,4
6.25,5
6.5,5
6.75,5
7,5
7.25,5
7.5,5
7.75,5
8,6
8.25,7
8.5,7
8.75,7
9,7
9.25,9
9.5,10
9.75,10
10,11
10.25,11
10.5,11
10.75,11
11,12
11.25,13
11.5,15
11.75,19
12,20
12.25,23
12.5,26
12.75,32
13,34
13.25,38
13.5,43
13.75,45
14,49
14.25,56
14.5,59
14.75,64
15,70
15.25,74
15.5,79
15.75,83
16,89
16.25,95
16.5,102
16.75,107
17,115
17.25,123
17.5,130
17.75,137
18,150
18.25,161
18.5,175
18.75,186
19,207
19.25,220
19.5,229
19.75,245
20,260
20.25,267
20.5,287
20.75,300
21,323
21.25,334
21.5,358
21.75,378
22,401
22.25,427
22.5,458
22.75,487
23,522
23.25,564
23.5,592
23.75,631
24,660
24.25,701
24.5,746
24.75,796
25,839
25.25,889
25.5,940
25.75,988
26,1044
26.25,1099
26.5,1170
26.75,1237
27,1300
27.25,1368
27.5,1449
27.75,1526
28,1618
28.25,1710
28.5,1795
28.75,1893
29,1996
29.25,2108
29.5,2216
29.75,2325
30,2451
30.25,2592
30.5,2723
30.75,2875
31,3023
31.25,3175
31.5,3333
31.75,3526
32,3743
32.25,3949
32.5,4141
32.75,4331
33,4544
33.25,4755
33.5,5012
33.75,5249
34,5516
34.25,5796
34.5,6084
34.75,6374
35,6678
35.25,6982
35.5,7289
35.75,7657
36,7986
36.25,8367
36.5,8783
36.75,9169
37,9593
37.25,10011
37.5,10446
37.75,10902
38,11364
38.25,11865
38.5,12356
38.75,12870
39,13390
39.25,13972
39.5,14544
39.75,15112
40,15673
40.25,16258
40.5,16868
40.75,17496
41,18113
41.25,18782
41.5,19479
41.75,20138
42,20817
42.25,21507
42.5,22200
42.75,22906
43,23667
43.25,24376
43.5,25159
43.75,25845
44,26637
44.25,27433
44.5,28246
44.75,29032
45,29797
45.25,30601
45.5,31378
45.75,32199
46,33051
46.25,33841
46.5,34623
46.75,35416
47,36186
47.25,36957
47.5,37729
47.75,38442
48,39222
48.25,39969
48.5,40694
48.75,41399
49,42082
49.25,42721
49.5,43358
49.75,44033
50,44716
50.25,45323
50.5,45952
50.75,46542
51,47114
51.25,47681
51.5,48203
51.75,48771
52,49296
52.25,49802
52.5,50309
52.75,50802
53,51272
53.25,51752
53.5,52189
53.75,52589
54,52984
54.25,53381
54.5,53748
54.75,54079
55,54401
55.25,54773
55.5,55078
55.75,55384
56,55668
56.25,55958
56.5,56201
56.75,56456
57,56703
57.25,56942
57.5,57176
57.75,57397
58,57608
58.25,57821
58.5,58017
58.75,58222
59,58385
59.25,58551
59.5,58696
59.75,58839
60,58989
60.25,59128
60.5,59251
60.75,59401
61,59539
61.25,59675
61.5,59794
61.75,59891
62,59998
62.25,60101
62.5,60206
62.75,60280
63,60355
63.25,60456
63.5,60530
63.75,60603
64,60664
64.25,60744
64.5,60804
64.75,60870
65,60933
65.25,60990
65.5,61042
65.75,61101
66,61167
66.25,61213
66.5,61251
66.75,61288
67,61328
67.25,61371
67.5,61414
67.75,61447
68,61483
68.25,61511
68.5,61542
68.75,61574
69,61613
69.25,61645
69.5,61676
69.75,61699
70,61725
70.25,61745
70.5,61767
70.75,61795
71,61816
71.25,61839
71.5,61862
71.75,61871
72,61890
72.25,61903
72.5,61916
72.75,61928
73,61942
73.25,61957
73.5,61971
73.75,61983
74,61997
74.25,62005
74.5,62014
74.75,62018
75,62025
75.25,62032
75.5,62038
75.75,62050
76,62057
76.25,62065
76.5,62073
76.75,62080
77,62089
77.25,62098
77.5,62105
77.75,62111
78,62121
78.25,62129
78.5,62135
78.75,62135
79,62141
79.25,62146
79.5,62147
79.75,62150
80,62155
80.25,62159
80.5,62163
80.75,62166
81,62169
81.25,62172
81.5,62176
81.75,62177
82,62179
82.25,62183
82.5,62188
82.75,62190
83,62194
83.25,62198
83.5,62203
83.75,62205
84,62208
84.25,62209
