Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,1
9,1
9.25,1
9.5,2
9.75,2
10,2
10.25,2
10.5,2
10.75,2
11,2
11.25,2
11.5,2
11.75,2
12,2
12.25,2
12.5,2
12.75,2
13,2
13.25,2
13.5,2
13.75,2
14,2
14.25,2
14.5,2
14.75,2
15,2
15.25,2
15.5,2
15.75,2
16,2
16.25,2
16.5,2
16.75,3
17,3
17.25,3
17.5,3
17.75,3
18,3
18.25,3
18.5,3
18.75,4
19,4
19.25,4
19.5,4
19.75,4
20,4
20.25,4
20.5,4
20.75,4
21,4
21.25,4
21.5,4
21.75,4
22,4
22.25,5
22.5,7
22.75,7
23,7
23.25,7
23.5,8
23.75,10
24,10
24.25,12
24.5,12
24.75,14
25,15
25.25,18
25.5,20
25.75,22
26,27
26.25,27
26.5,28
26.75,29
27,32
27.25,34
27.5,36
27.75,40
28,42
28.25,43
28.5,44
28.75,48
29,49
29.25,50
29.5,53
29.75,58
30,60
30.25,62
30.5,65
30.75,68
31,74
31.25,76
31.5,82
31.75,92
32,95
32.25,102
32.5,111
32.75,113
33,115
33.25,124
33.5,132
33.75,144
34,155
34.25,164
34.5,173
34.75,184
35,195
35.25,206
35.5,221
35.75,231
36,242
36.25,250
36.5,265
36.75,285
37,299
37.25,323
37.5,330
37.75,345
38,365
38.25,384
38.5,403
38.75,411
39,431
39.25,455
39.5,470
39.75,487
40,511
40.25,527
40.5,549
40.75,572
41,602
41.25,622
41.5,646
41.75,670
42,691
42.25,718
42.5,739
42.75,767
43,793
43.25,825
43.5,855
43.75,893
44,921
44.25,961
44.5,988
44.75,1024
45,1056
45.25,1086
45.5,1118
45.75,1151
46,1190
46.25,1228
46.5,1267
46.75,1312
47,1351
47.25,1399
47.5,1421
47.75,1461
48,1486
48.25,1529
48.5,1566
48.75,1596
49,1632
49.25,1670
49.5,1710
49.75,1750
50,1792
50.25,1830
50.5,1865
50.75,1904
51,1951
51.25,1992
51.5,2034
51.75,2076
52,2110
52.25,2157
52.5,2197
52.75,2242
53,2276
53.25,2315
53.5,2344
53.75,2384
54,2413
54.25,2454
54.5,2490
54.75,2523
55,2570
55.25,2611
55.5,2640
55.75,2677
56,2716
56.25,2738
56.5,2771
56.75,2798
57,2829
57.25,2852
57.5,2878
57.75,2903
58,2935
58.25,2968
58.5,2989
58.75,3020
59,3051
59.25,3073
59.5,3108
59.75,3135
60,3155
60.25,3176
60.5,3200
60.75,3218
61,3228
61.25,3247
61.5,3268
61.75,3286
62,3301
62.25,3318
62.5,3333
62.75,3355
63,3370
63.25,3389
63.5,3400
63.75,3416
64,3434
64.25,3448
64.5,3459
64.75,3473
65,3480
65.25,3495
65.5,3511
65.75,3521
66,3526
66.25,3533
66.5,3547
66.75,3560
67,3571
67.25,3574
67.5,3580
67.75,3591
68,3594
68.25,3607
68.5,3619
68.75,3632
69,3642
69.25,3649
69.5,3657
69.75,3663
70,3672
70.25,3681
70.5,3689
70.75,3698
71,3702
71.25,3708
71.5,3712
71.75,3718
72,3725
72.25,3734
72.5,3741
72.75,3746
73,3750
73.25,3756
73.5,3759
73.75,3762
74,3764
74.25,3767
74.5,3771
74.75,3775
75,3782
75.25,3783
75.5,3784
75.75,3786
76,3790
76.25,3792
76.5,3793
76.75,3796
77,3800
77.25,3804
77.5,3809
77.75,3815
78,3816
78.25,3818
78.5,3821
78.75,3823
79,3825
79.25,3825
79.5,3827
79.75,3827
80,3828
80.25,3829
80.5,3830
80.75,3830
81,3830
81.25,3831
81.5,3834
81.75,3834
82,3835
82.25,3835
82.5,3835
82.75,3835
83,3835
83.25,3836
83.5,3836
83.75,3839
84,3839
84.25,3842
84.5,3844
84.75,3844
85,3844
85.25,3845
85.5,3845
85.75,3846
86,3846
86.25,3846
86.5,3846
86.75,3848
