Time,num_cumulative_infective
0,0
0.25,1
0.5,1
0.75,1
1,1
1.25,3
1.5,4
1.75,4
2,4
2.25,4
2.5,5
2.75,5
3,6
3.25,6
3.5,6
3.75,6
4,6
4.25,6
4.5,6
4.75,6
5,7
5.25,7
5.5,8
5.75,8
6,8
6.25,8
6.5,8
6.75,8
7,8
7.25,9
7.5,10
7.75,11
8,11
8.25,12
8.5,12
8.75,13
9,14
9.25,14
9.5,14
9.75,15
10,15
10.25,17
10.5,18
10.75,20
11,22
11.25,24
11.5,30
11.75,33
12,35
12.25,41
12.5,48
12.75,53
13,60
13.25,66
13.5,70
13.75,77
14,84
14.25,91
14.5,97
14.75,105
15,111
15.25,119
15.5,127
15.75,138
16,150
16.25,157
16.5,170
16.75,182
17,194
17.25,203
17.5,222
17.75,237
18,251
18.25,274
18.5,293
18.75,311
19,334
19.25,351
19.5,366
19.75,385
20,409
20.25,441
20.5,463
20.75,490
21,507
21.25,543
21.5,570
21.75,621
22,669
22.25,707
22.5,751
22.75,801
23,853
23.25,892
23.5,953
23.75,1010
24,1077
24.25,1152
24.5,1227
24.75,1293
25,1362
25.25,1449
25.5,1543
25.75,1643
26,1716
26.25,1831
26.5,1939
26.75,2048
27,2179
27.25,2291
27.5,2425
27.75,2565
28,2703
28.25,2867
28.5,3012
28.75,3175
29,3339
29.25,3505
29.5,3681
29.75,3888
30,4126
30.25,4330
30.5,4571
30.75,4820
31,5070
31.25,5321
31.5,5614
31.75,5929
32,6248
32.25,6576
32.5,6904
32.75,7224
33,7593
33.25,7963
33.5,8309
33.75,8739
34,9165
34.25,9578
34.5,10043
34.75,10540
35,11012
35.25,11531
35.5,12055
35.75,12617
36,13208
36.25,13858
36.5,14461
36.75,15124
37,15791
37.25,16480
37.5,17189
37.75,17909
38,18648
38.25,19382
38.5,20160
38.75,20984
39,21850
39.25,22665
39.5,23557
39.75,24451
40,25378
40.25,26257
40.5,27211
40.75,28200
41,29214
41.25,30265
41.5,31279
41.75,32313
42,33402
42.25,34431
42.5,35550
42.75,36678
43,37820
43.25,38972
43.5,40042
43.75,41258
44,42412
44.25,43603
44.5,44782
44.75,45957
45,47113
45.25,48322
45.5,49527
45.75,50731
46,51880
46.25,53051
46.5,54239
46.75,55404
47,56543
47.25,57652
47.5,58765
47.75,59883
48,60955
48.25,62027
48.5,63088
48.75,64073
49,64980
49.25,65969
49.5,66930
49.75,67883
50,68863
50.25,69756
50.5,70656
