Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,1
25,1
25.25,1
25.5,1
25.75,1
26,1
26.25,1
26.5,1
26.75,1
27,1
27.25,1
27.5,1
27.75,1
28,1
28.25,1
28.5,1
28.75,1
29,1
29.25,1
29.5,1
29.75,1
30,1
30.25,1
30.5,1
30.75,1
31,1
31.25,1
31.5,1
31.75,1
32,1
32.25,1
32.5,1
32.75,1
33,1
33.25,1
33.5,1
33.75,1
34,1
34.25,1
34.5,1
34.75,1
35,1
35.25,1
35.5,1
35.75,1
36,1
36.25,1
36.5,1
36.75,1
37,1
37.25,1
37.5,1
37.75,1
38,1
38.25,1
38.5,1
38.75,1
39,1
39.25,1
39.5,1
39.75,1
40,1
40.25,1
40.5,1
40.75,2
41,2
41.25,3
41.5,3
41.75,4
42,6
42.25,6
42.5,6
42.75,6
43,6
43.25,7
43.5,7
43.75,7
44,7
44.25,7
44.5,7
44.75,7
45,7
45.25,7
45.5,8
45.75,8
46,8
46.25,8
46.5,9
46.75,9
47,9
47.25,9
47.5,9
47.75,13
48,13
48.25,13
48.5,13
48.75,13
49,13
49.25,13
49.5,13
49.75,14
50,15
50.25,15
50.5,16
50.75,17
51,17
51.25,20
51.5,21
51.75,21
52,25
52.25,25
52.5,25
52.75,25
53,26
53.25,28
53.5,29
53.75,31
54,35
54.25,38
54.5,40
54.75,40
55,42
55.25,42
55.5,43
55.75,45
56,47
56.25,48
56.5,53
56.75,55
57,57
57.25,58
57.5,61
57.75,63
58,63
58.25,68
58.5,73
58.75,76
59,78
59.25,82
59.5,85
59.75,88
60,94
60.25,99
60.5,104
60.75,105
61,105
61.25,106
61.5,110
61.75,112
62,117
62.25,122
62.5,128
62.75,130
63,136
63.25,141
63.5,143
63.75,150
64,150
64.25,152
64.5,156
64.75,161
65,168
65.25,170
65.5,178
65.75,182
66,186
66.25,189
66.5,191
66.75,195
67,202
67.25,204
67.5,209
67.75,213
68,215
68.25,220
68.5,225
68.75,231
69,233
69.25,238
69.5,243
69.75,250
70,255
70.25,259
70.5,263
70.75,265
71,272
71.25,279
71.5,289
71.75,296
72,303
72.25,306
72.5,314
72.75,318
73,322
73.25,325
73.5,328
73.75,332
74,338
74.25,341
74.5,345
74.75,350
75,358
75.25,360
75.5,366
75.75,369
76,370
76.25,372
76.5,375
76.75,378
77,380
77.25,381
77.5,387
77.75,392
78,394
78.25,396
78.5,400
78.75,402
79,402
79.25,405
79.5,409
79.75,412
80,413
80.25,416
80.5,418
80.75,421
81,422
81.25,423
81.5,428
81.75,429
82,429
82.25,430
82.5,430
82.75,432
83,434
83.25,434
83.5,434
83.75,437
84,438
84.25,441
84.5,447
84.75,450
85,452
85.25,454
85.5,456
85.75,456
86,456
86.25,456
86.5,460
86.75,460
87,460
87.25,462
87.5,464
87.75,466
88,466
88.25,469
88.5,469
88.75,472
89,473
89.25,474
89.5,474
89.75,474
90,474
90.25,475
90.5,476
90.75,476
91,477
91.25,477
91.5,477
91.75,477
92,479
92.25,479
92.5,479
92.75,480
93,481
93.25,481
93.5,482
93.75,484
94,484
94.25,485
94.5,486
94.75,487
