Time,num_recovered
0,0
0.25,0
0.5,1
0.75,1
1,1
1.25,1
1.5,2
1.75,2
2,2
2.25,2
2.5,2
2.75,2
3,2
3.25,2
3.5,2
3.75,2
4,2
4.25,2
4.5,2
4.75,3
5,3
5.25,5
5.5,5
5.75,5
6,5
6.25,5
6.5,5
6.75,5
7,6
7.25,6
7.5,6
7.75,6
8,7
8.25,7
8.5,7
8.75,7
9,7
9.25,7
9.5,7
9.75,8
10,8
10.25,8
10.5,8
10.75,8
11,9
11.25,12
11.5,13
11.75,14
12,15
12.25,15
12.5,19
12.75,20
13,23
13.25,27
13.5,34
13.75,37
14,39
14.25,46
14.5,49
14.75,55
15,58
15.25,61
15.5,65
15.75,69
16,74
16.25,83
16.5,86
16.75,95
17,103
17.25,112
17.5,123
17.75,128
18,135
18.25,144
18.5,152
18.75,157
19,166
19.25,176
19.5,187
19.75,199
20,208
20.25,217
20.5,226
20.75,250
21,262
21.25,279
21.5,300
21.75,321
22,341
22.25,363
22.5,384
22.75,407
23,425
23.25,457
23.5,495
23.75,527
24,576
24.25,616
24.5,652
24.75,688
25,743
25.25,778
25.5,837
25.75,904
26,957
26.25,1017
26.5,1078
26.75,1148
27,1220
27.25,1294
27.5,1362
27.75,1434
28,1512
28.25,1609
28.5,1713
28.75,1807
29,1908
29.25,2005
29.5,2114
29.75,2216
30,2327
30.25,2473
30.5,2604
30.75,2753
31,2915
31.25,3074
31.5,3227
31.75,3398
32,3570
32.25,3765
32.5,3966
32.75,4183
33,4413
33.25,4637
33.5,4877
33.75,5116
34,5394
34.25,5645
34.5,5917
34.75,6242
35,6552
35.25,6855
35.5,7195
35.75,7540
36,7906
36.25,8281
36.5,8679
36.75,9107
37,9537
37.25,9972
37.5,10418
37.75,10878
38,11372
38.25,11869
38.5,12378
38.75,12918
39,13463
39.25,14059
39.5,14637
39.75,15283
40,15862
40.25,16506
40.5,17103
40.75,17818
41,18483
41.25,19206
41.5,19963
41.75,20709
42,21485
42.25,22314
42.5,23094
42.75,23957
43,24803
43.25,25645
43.5,26494
43.75,27417
44,28306
44.25,29204
44.5,30105
44.75,31060
45,32030
45.25,32968
45.5,33947
45.75,34946
46,35888
46.25,36892
46.5,37897
46.75,38890
47,39935
47.25,41041
47.5,42038
47.75,43040
48,44041
48.25,45025
48.5,46088
48.75,47167
49,48152
49.25,49123
49.5,50158
49.75,51155
50,52130
50.25,53119
50.5,54073
50.75,55056
51,56016
51.25,56955
51.5,57872
51.75,58788
52,59675
52.25,60533
52.5,61390
52.75,62183
53,62986
53.25,63800
53.5,64604
53.75,65370
54,66100
54.25,66869
54.5,67647
54.75,68374
55,69078
55.25,69722
55.5,70391
55.75,71088
56,71748
56.25,72379
56.5,72995
56.75,73564
57,74146
57.25,74709
57.5,75255
57.75,75826
58,76383
58.25,76918
58.5,77408
58.75,77910
59,78426
59.25,78899
59.5,79339
59.75,79768
60,80175
60.25,80574
60.5,80939
60.75,81346
61,81708
61.25,82065
61.5,82382
61.75,82739
62,83044
62.25,83364
62.5,83664
62.75,83963
63,84292
63.25,84528
63.5,84762
63.75,85002
64,85283
64.25,85515
64.5,85751
64.75,85992
65,86228
65.25,86426
65.5,86610
65.75,86820
66,87011
66.25,87217
66.5,87402
66.75,87607
67,87781
67.25,87950
67.5,88113
67.75,88289
68,88416
68.25,88556
68.5,88714
68.75,88838
69,88967
69.25,89106
69.5,89216
69.75,89311
70,89424
70.25,89527
70.5,89633
70.75,89727
71,89818
71.25,89899
71.5,89976
71.75,90060
72,90167
72.25,90241
72.5,90321
72.75,90393
73,90469
73.25,90543
73.5,90599
73.75,90666
74,90730
74.25,90785
74.5,90847
74.75,90913
75,90979
75.25,91019
75.5,91064
75.75,91112
76,91164
76.25,91214
76.5,91256
76.75,91304
77,91339
77.25,91373
77.5,91402
77.75,91439
78,91480
78.25,91517
78.5,91550
78.75,91587
79,91626
79.25,91655
79.5,91684
79.75,91709
80,91735
80.25,91758
80.5,91790
80.75,91808
81,91825
81.25,91850
81.5,91859
81.75,91874
82,91886
82.25,91895
82.5,91908
82.75,91928
83,91952
83.25,91966
83.5,91971
83.75,91981
84,91997
84.25,92013
