Time,ward_infected
0,111
0.25,33321
0.5,62487
0.75,16257
1,19174
1.25,27011
1.5,7969
1.75,18307
2,26061
2.25,25495
2.5,19307
2.75,30386
3,18799
3.25,22593
3.5,13727
3.75,31515
4,32433
4.25,23401
4.5,24711
4.75,57612
5,40226
5.25,29624
5.5,13247
5.75,38973
6,33990
6.25,21623
6.5,18778
6.75,23703
7,42562
7.25,19036
7.5,22639
7.75,26622
8,19259
8.25,52243
8.5,37568
8.75,58083
9,39225
9.25,53540
9.5,53500
9.75,19343
10,53387
10.25,32915
10.5,43582
10.75,5407
11,43366
11.25,29851
11.5,32604
11.75,30457
12,25200
12.25,20365
12.5,19837
12.75,78016
