Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,4.56284e-05
1,0.0769582
1.25,0.0660256
1.5,0.104464
1.75,0.145574
2,0.134688
2.25,0.134443
2.5,0.119412
2.75,0.118595
3,0.123487
3.25,0.124818
3.5,0.130693
3.75,0.144732
4,0.146413
4.25,0.158611
4.5,0.158255
4.75,0.160131
5,0.160546
5.25,0.159755
5.5,0.158881
5.75,0.159469
6,0.159293
6.25,0.165144
6.5,0.16305
6.75,0.170899
7,0.170217
7.25,0.171067
7.5,0.17185
7.75,0.172245
8,0.174695
8.25,0.174692
8.5,0.175053
8.75,0.177707
9,0.17915
9.25,0.179982
9.5,0.185458
9.75,0.188262
10,0.189903
10.25,0.190675
10.5,0.191054
10.75,0.189728
11,0.194842
11.25,0.194007
11.5,0.195763
11.75,0.196131
12,0.1972
12.25,0.199765
12.5,0.19764
12.75,0.199208
13,0.199069
13.25,0.200786
13.5,0.200655
13.75,0.199813
14,0.202625
14.25,0.205069
14.5,0.206
14.75,0.207683
15,0.209083
15.25,0.208212
15.5,0.209127
15.75,0.210015
16,0.212212
16.25,0.212539
16.5,0.213449
16.75,0.213409
17,0.214253
17.25,0.214834
17.5,0.21676
17.75,0.217733
18,0.217925
18.25,0.216213
18.5,0.215222
18.75,0.215651
19,0.215317
19.25,0.214837
19.5,0.21321
19.75,0.213533
20,0.214272
20.25,0.2136
20.5,0.213105
20.75,0.212622
21,0.211869
21.25,0.212162
21.5,0.212427
21.75,0.212583
22,0.213077
22.25,0.213411
22.5,0.214
22.75,0.213791
23,0.214272
23.25,0.216032
23.5,0.216075
23.75,0.216474
24,0.216582
24.25,0.216574
24.5,0.216936
24.75,0.217099
25,0.21773
25.25,0.217956
25.5,0.218466
25.75,0.218957
26,0.219394
26.25,0.219231
26.5,0.218602
26.75,0.21853
27,0.218762
27.25,0.218952
27.5,0.219043
27.75,0.219542
28,0.219983
28.25,0.220438
28.5,0.220365
28.75,0.220822
29,0.220721
29.25,0.220782
29.5,0.221117
29.75,0.221389
30,0.22143
30.25,0.222295
30.5,0.222735
30.75,0.223056
31,0.223309
31.25,0.223478
31.5,0.22364
31.75,0.224143
32,0.224134
32.25,0.224264
32.5,0.224309
32.75,0.224472
33,0.224669
33.25,0.224735
33.5,0.224786
33.75,0.224584
34,0.224822
34.25,0.225291
34.5,0.225498
34.75,0.22567
35,0.225818
35.25,0.226191
35.5,0.226539
35.75,0.227105
36,0.227333
36.25,0.227653
36.5,0.227619
36.75,0.227869
37,0.228118
37.25,0.228394
37.5,0.228465
37.75,0.228646
38,0.228915
38.25,0.229096
38.5,0.229418
38.75,0.229599
39,0.229917
39.25,0.230073
39.5,0.230408
39.75,0.230641
40,0.230954
40.25,0.23111
40.5,0.231407
40.75,0.231573
41,0.231825
41.25,0.232015
41.5,0.232179
41.75,0.232362
42,0.232544
42.25,0.232803
42.5,0.233071
42.75,0.233465
43,0.233664
43.25,0.233891
43.5,0.234195
43.75,0.234502
44,0.234812
44.25,0.235145
44.5,0.235446
44.75,0.235859
45,0.236161
45.25,0.236545
45.5,0.236937
45.75,0.237329
46,0.237704
46.25,0.238152
46.5,0.238594
46.75,0.239098
47,0.239536
47.25,0.239974
47.5,0.240354
47.75,0.240777
48,0.241159
48.25,0.241592
48.5,0.242009
48.75,0.242432
49,0.242854
49.25,0.243278
49.5,0.243712
49.75,0.244156
50,0.244499
50.25,0.24483
50.5,0.245147
50.75,0.245525
51,0.245886
51.25,0.246267
51.5,0.246593
51.75,0.246926
52,0.247235
52.25,0.247567
52.5,0.247863
52.75,0.248168
53,0.248472
53.25,0.24874
53.5,0.249053
53.75,0.249324
54,0.249588
54.25,0.24986
54.5,0.250131
54.75,0.250384
55,0.250627
55.25,0.250872
55.5,0.251082
55.75,0.25131
56,0.251538
56.25,0.251763
56.5,0.251974
56.75,0.252133
57,0.252307
57.25,0.252474
57.5,0.252646
57.75,0.252812
58,0.252962
58.25,0.253125
58.5,0.253279
58.75,0.253427
59,0.253565
59.25,0.253705
59.5,0.25385
59.75,0.253968
60,0.254095
60.25,0.254229
60.5,0.254338
60.75,0.254428
61,0.254527
