Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0
1,0.461537
1.25,0.419353
1.5,0.431019
1.75,0.368409
2,0.353525
2.25,0.341076
2.5,0.324666
2.75,0.319758
3,0.294678
3.25,0.275102
3.5,0.267917
3.75,0.253466
4,0.241373
4.25,0.231878
4.5,0.221912
4.75,0.211729
5,0.211532
5.25,0.21052
5.5,0.210185
5.75,0.215563
6,0.216312
6.25,0.218455
6.5,0.213799
6.75,0.208902
7,0.207619
7.25,0.205392
7.5,0.200242
7.75,0.202921
8,0.206136
8.25,0.20279
8.5,0.200392
8.75,0.200358
9,0.195171
9.25,0.194919
9.5,0.192227
9.75,0.189872
10,0.188969
10.25,0.18698
10.5,0.186399
10.75,0.184743
11,0.183573
11.25,0.186056
11.5,0.186418
11.75,0.187241
12,0.18331
12.25,0.181044
12.5,0.183806
12.75,0.187447
13,0.19109
13.25,0.192511
13.5,0.197114
13.75,0.19773
14,0.198476
14.25,0.198455
14.5,0.199514
14.75,0.200318
15,0.20234
15.25,0.2016
15.5,0.203108
15.75,0.202093
16,0.203249
16.25,0.20366
16.5,0.20319
16.75,0.202015
17,0.2009
17.25,0.201312
17.5,0.199871
17.75,0.20032
18,0.200135
18.25,0.200123
18.5,0.199877
18.75,0.198224
19,0.197761
19.25,0.197312
19.5,0.198981
19.75,0.197754
20,0.196495
20.25,0.198497
20.5,0.197162
20.75,0.195379
21,0.194922
21.25,0.195243
21.5,0.194956
21.75,0.19464
22,0.195285
22.25,0.195255
22.5,0.195705
22.75,0.196115
23,0.195682
23.25,0.194865
23.5,0.195367
23.75,0.195348
24,0.196672
24.25,0.196717
24.5,0.196785
24.75,0.196987
25,0.196933
25.25,0.196865
25.5,0.196374
25.75,0.196193
26,0.196876
26.25,0.197763
26.5,0.198348
26.75,0.198729
27,0.198815
27.25,0.197657
27.5,0.197986
27.75,0.19784
28,0.197581
28.25,0.197207
28.5,0.197096
28.75,0.197485
29,0.197889
29.25,0.198294
29.5,0.1985
29.75,0.198579
30,0.199122
30.25,0.198693
30.5,0.198266
30.75,0.198362
31,0.198566
31.25,0.198753
31.5,0.199015
31.75,0.199209
32,0.199209
32.25,0.199195
32.5,0.199252
32.75,0.199465
33,0.199687
33.25,0.200085
33.5,0.199969
33.75,0.19994
34,0.20015
34.25,0.200471
34.5,0.200372
34.75,0.200576
35,0.200858
35.25,0.200909
35.5,0.200859
35.75,0.20073
36,0.200712
36.25,0.20069
36.5,0.200853
36.75,0.200879
37,0.200819
37.25,0.200772
37.5,0.200938
37.75,0.201064
38,0.201002
38.25,0.201236
38.5,0.201213
38.75,0.201433
39,0.201643
39.25,0.201842
39.5,0.20212
39.75,0.202313
40,0.202544
40.25,0.202901
40.5,0.203222
40.75,0.203495
41,0.203689
41.25,0.203895
41.5,0.204199
41.75,0.20456
42,0.2049
42.25,0.205083
42.5,0.205428
42.75,0.205731
43,0.206171
43.25,0.206508
43.5,0.206832
43.75,0.207182
44,0.207539
44.25,0.207905
44.5,0.208261
44.75,0.208559
45,0.209035
45.25,0.209324
45.5,0.209604
45.75,0.209975
46,0.210397
46.25,0.210672
46.5,0.210921
46.75,0.211155
47,0.211429
47.25,0.211719
47.5,0.212057
47.75,0.212391
48,0.212767
48.25,0.213023
48.5,0.21333
48.75,0.213652
49,0.213918
49.25,0.214206
49.5,0.21449
49.75,0.214739
50,0.214999
50.25,0.215336
50.5,0.215672
50.75,0.215921
51,0.216189
51.25,0.216438
51.5,0.216665
51.75,0.216905
52,0.217113
52.25,0.217325
52.5,0.217558
52.75,0.217786
53,0.217977
53.25,0.218179
53.5,0.218388
53.75,0.218554
54,0.218715
54.25,0.218847
54.5,0.219
54.75,0.219163
55,0.21927
55.25,0.219393
55.5,0.21954
55.75,0.219654
56,0.219747
56.25,0.219852
56.5,0.219948
56.75,0.220085
57,0.220166
57.25,0.220255
57.5,0.220343
57.75,0.220428
58,0.220512
58.25,0.2206
58.5,0.220648
58.75,0.220718
59,0.220745
59.25,0.220796
59.5,0.220833
59.75,0.220898
60,0.220949
60.25,0.220989
60.5,0.221024
60.75,0.221079
61,0.221131
61.25,0.221152
