Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0.999954
1,0.461505
1.25,0.514621
1.5,0.464517
1.75,0.486017
2,0.511788
2.25,0.524481
2.5,0.555923
2.75,0.561646
3,0.581835
3.25,0.60008
3.5,0.601389
3.75,0.601802
4,0.612214
4.25,0.609511
4.5,0.619832
4.75,0.628139
5,0.627921
5.25,0.629725
5.5,0.630934
5.75,0.624968
6,0.624395
6.25,0.616401
6.5,0.623151
6.75,0.620199
7,0.622164
7.25,0.623541
7.5,0.627909
7.75,0.624834
8,0.619169
8.25,0.622517
8.5,0.624554
8.75,0.621935
9,0.625679
9.25,0.625099
9.5,0.622315
9.75,0.621866
10,0.621128
10.25,0.622345
10.5,0.622547
10.75,0.625529
11,0.621584
11.25,0.619937
11.5,0.617819
11.75,0.616628
12,0.61949
12.25,0.619191
12.5,0.618554
12.75,0.613345
13,0.609841
13.25,0.606703
13.5,0.60223
13.75,0.602457
14,0.598899
14.25,0.596476
14.5,0.594486
14.75,0.592
15,0.588577
15.25,0.590189
15.5,0.587765
15.75,0.587893
16,0.584539
16.25,0.583801
16.5,0.583362
16.75,0.584576
17,0.584847
17.25,0.583854
17.5,0.583369
17.75,0.581947
18,0.58194
18.25,0.583663
18.5,0.584901
18.75,0.586124
19,0.586922
19.25,0.587851
19.5,0.58781
19.75,0.588713
20,0.589233
20.25,0.587903
20.5,0.589733
20.75,0.591999
21,0.59321
21.25,0.592594
21.5,0.592617
21.75,0.592778
22,0.591638
22.25,0.591334
22.5,0.590295
22.75,0.590095
23,0.590046
23.25,0.589103
23.5,0.588558
23.75,0.588178
24,0.586746
24.25,0.586709
24.5,0.58628
24.75,0.585913
25,0.585336
25.25,0.585179
25.5,0.585159
25.75,0.58485
26,0.58373
26.25,0.583006
26.5,0.58305
26.75,0.58274
27,0.582423
27.25,0.583391
27.5,0.582971
27.75,0.582617
28,0.582436
28.25,0.582356
28.5,0.582539
28.75,0.581693
29,0.58139
29.25,0.580924
29.5,0.580383
29.75,0.580032
30,0.579449
30.25,0.579012
30.5,0.578999
30.75,0.578582
31,0.578125
31.25,0.577769
31.5,0.577345
31.75,0.576648
32,0.576657
32.25,0.576541
32.5,0.576438
32.75,0.576064
33,0.575644
33.25,0.57518
33.5,0.575246
33.75,0.575476
34,0.575029
34.25,0.574238
34.5,0.57413
34.75,0.573754
35,0.573324
35.25,0.5729
35.5,0.572603
35.75,0.572165
36,0.571955
36.25,0.571657
36.5,0.571529
36.75,0.571252
37,0.571062
37.25,0.570834
37.5,0.570597
37.75,0.57029
38,0.570083
38.25,0.569668
38.5,0.56937
38.75,0.568967
39,0.56844
39.25,0.568085
39.5,0.567472
39.75,0.567045
40,0.566502
40.25,0.56599
40.5,0.56537
40.75,0.564932
41,0.564486
41.25,0.56409
41.5,0.563622
41.75,0.563078
42,0.562556
42.25,0.562114
42.5,0.561501
42.75,0.560804
43,0.560166
43.25,0.559601
43.5,0.558973
43.75,0.558317
44,0.55765
44.25,0.55695
44.5,0.556293
44.75,0.555583
45,0.554804
45.25,0.55413
45.5,0.553459
45.75,0.552696
46,0.5519
46.25,0.551177
46.5,0.550486
46.75,0.549747
47,0.549035
47.25,0.548307
47.5,0.547589
47.75,0.546832
48,0.546073
48.25,0.545385
48.5,0.544661
48.75,0.543916
49,0.543228
49.25,0.542516
49.5,0.541798
49.75,0.541105
50,0.540502
50.25,0.539834
50.5,0.539181
50.75,0.538554
51,0.537925
51.25,0.537295
51.5,0.536742
51.75,0.53617
52,0.535653
52.25,0.535109
52.5,0.534579
52.75,0.534046
53,0.533551
53.25,0.533081
53.5,0.53256
53.75,0.532122
54,0.531697
54.25,0.531292
54.5,0.530869
54.75,0.530453
55,0.530103
55.25,0.529735
55.5,0.529377
55.75,0.529036
56,0.528715
56.25,0.528385
56.5,0.528078
56.75,0.527782
57,0.527528
57.25,0.52727
57.5,0.527011
57.75,0.52676
58,0.526526
58.25,0.526276
58.5,0.526072
58.75,0.525855
59,0.525689
59.25,0.525498
59.5,0.525317
59.75,0.525134
60,0.524956
60.25,0.524782
60.5,0.524638
60.75,0.524493
61,0.524341
