Time,normal_interactions,curtailed_interactions
0,2.33001e+06,2.33001e+06
0.25,2.32998e+06,2.32998e+06
0.5,2.32996e+06,2.32996e+06
0.75,2.32995e+06,2.32995e+06
1,2.32993e+06,2.32993e+06
1.25,2.32992e+06,2.32992e+06
1.5,2.32991e+06,2.32991e+06
1.75,2.32991e+06,2.32991e+06
2,2.32989e+06,2.32989e+06
2.25,2.3299e+06,2.3299e+06
2.5,2.32987e+06,2.32987e+06
2.75,2.32987e+06,2.32987e+06
3,2.32987e+06,2.32987e+06
3.25,2.32986e+06,2.32986e+06
3.5,2.32985e+06,2.32985e+06
3.75,2.32983e+06,2.32983e+06
4,2.32983e+06,2.32983e+06
4.25,2.32982e+06,2.32982e+06
4.5,2.3298e+06,2.3298e+06
4.75,2.32978e+06,2.32978e+06
5,2.32976e+06,2.32976e+06
5.25,2.32974e+06,2.32974e+06
5.5,2.32972e+06,2.32972e+06
5.75,2.32967e+06,2.32967e+06
6,2.32966e+06,2.32966e+06
6.25,2.32965e+06,2.32965e+06
6.5,2.32963e+06,2.32963e+06
6.75,2.3296e+06,2.3296e+06
7,2.32958e+06,2.32958e+06
7.25,2.32956e+06,2.32956e+06
7.5,2.32953e+06,2.32953e+06
7.75,2.3295e+06,2.3295e+06
8,2.32947e+06,2.32947e+06
8.25,2.32941e+06,2.32941e+06
8.5,2.32939e+06,2.32939e+06
8.75,2.32939e+06,2.32939e+06
9,2.32937e+06,2.32937e+06
9.25,2.32934e+06,2.32934e+06
9.5,2.32928e+06,2.32928e+06
9.75,2.32927e+06,2.32927e+06
10,2.32926e+06,2.32926e+06
10.25,2.32918e+06,2.32918e+06
10.5,2.3291e+06,2.3291e+06
10.75,2.32909e+06,2.32909e+06
11,2.32903e+06,2.32903e+06
11.25,2.32897e+06,2.32897e+06
11.5,2.32892e+06,2.32892e+06
11.75,2.32885e+06,2.32885e+06
12,2.32878e+06,2.32878e+06
12.25,2.32874e+06,2.32874e+06
12.5,2.32869e+06,2.32869e+06
12.75,2.32859e+06,2.32859e+06
13,2.32856e+06,2.32856e+06
13.25,2.32848e+06,2.32848e+06
13.5,2.32841e+06,2.32841e+06
13.75,2.32837e+06,2.32837e+06
14,2.3283e+06,2.3283e+06
14.25,2.3282e+06,2.3282e+06
14.5,2.32806e+06,2.32806e+06
14.75,2.328e+06,2.328e+06
15,2.3279e+06,2.3279e+06
15.25,2.32776e+06,2.32776e+06
15.5,2.32768e+06,2.32768e+06
15.75,2.32754e+06,2.32754e+06
16,2.32741e+06,2.32741e+06
16.25,2.32729e+06,2.32729e+06
16.5,2.32715e+06,2.32715e+06
16.75,2.32697e+06,2.32697e+06
17,2.32683e+06,2.32683e+06
17.25,2.32665e+06,2.32665e+06
17.5,2.32649e+06,2.32649e+06
17.75,2.32633e+06,2.32633e+06
18,2.32615e+06,2.32615e+06
18.25,2.32598e+06,2.32598e+06
18.5,2.32571e+06,2.32571e+06
18.75,2.32557e+06,2.32557e+06
19,2.32536e+06,2.32536e+06
19.25,2.32512e+06,2.32512e+06
19.5,2.32496e+06,2.32496e+06
19.75,2.32464e+06,2.32464e+06
20,2.32435e+06,2.32435e+06
20.25,2.32405e+06,2.32405e+06
20.5,2.32377e+06,2.32377e+06
20.75,2.32333e+06,2.32333e+06
21,2.323e+06,2.323e+06
21.25,2.32256e+06,2.32256e+06
21.5,2.32221e+06,2.32221e+06
21.75,2.32187e+06,2.32187e+06
22,2.32146e+06,2.32146e+06
22.25,2.32086e+06,2.32086e+06
22.5,2.32039e+06,2.32039e+06
22.75,2.31996e+06,2.31996e+06
23,2.31945e+06,2.31945e+06
23.25,2.31894e+06,2.31894e+06
23.5,2.31817e+06,2.31817e+06
23.75,2.31745e+06,2.31745e+06
24,2.31684e+06,2.31684e+06
24.25,2.31623e+06,2.31623e+06
24.5,2.31554e+06,2.31554e+06
24.75,2.31472e+06,2.31472e+06
25,2.314e+06,2.314e+06
25.25,2.31301e+06,2.31301e+06
25.5,2.31217e+06,2.31217e+06
25.75,2.31119e+06,2.31119e+06
26,2.31029e+06,2.31029e+06
26.25,2.30919e+06,2.30919e+06
26.5,2.30802e+06,2.30802e+06
26.75,2.30702e+06,2.30702e+06
27,2.3059e+06,2.3059e+06
27.25,2.30449e+06,2.30449e+06
27.5,2.30337e+06,2.30337e+06
27.75,2.30215e+06,2.30215e+06
28,2.30045e+06,2.30045e+06
28.25,2.29905e+06,2.29905e+06
28.5,2.29732e+06,2.29732e+06
28.75,2.29557e+06,2.29557e+06
29,2.29374e+06,2.29374e+06
29.25,2.29207e+06,2.29207e+06
29.5,2.29027e+06,2.29027e+06
29.75,2.28825e+06,2.28825e+06
30,2.28623e+06,2.28623e+06
30.25,2.28394e+06,2.28394e+06
30.5,2.28166e+06,2.28166e+06
30.75,2.27923e+06,2.27923e+06
31,2.27685e+06,2.27685e+06
31.25,2.27431e+06,2.27431e+06
31.5,2.27155e+06,2.27155e+06
31.75,2.26838e+06,2.26838e+06
32,2.26521e+06,2.26521e+06
32.25,2.26215e+06,2.26215e+06
32.5,2.25916e+06,2.25916e+06
32.75,2.25572e+06,2.25572e+06
33,2.25185e+06,2.25185e+06
33.25,2.2484e+06,2.2484e+06
33.5,2.24458e+06,2.24458e+06
33.75,2.24029e+06,2.24029e+06
34,2.23635e+06,2.23635e+06
34.25,2.23181e+06,2.23181e+06
34.5,2.22734e+06,2.22734e+06
34.75,2.2233e+06,2.2233e+06
35,2.21838e+06,2.21838e+06
35.25,2.21338e+06,2.21338e+06
35.5,2.20804e+06,2.20804e+06
35.75,2.20221e+06,2.20221e+06
36,2.19626e+06,2.19626e+06
36.25,2.19052e+06,2.19052e+06
36.5,2.18448e+06,2.18448e+06
36.75,2.17842e+06,2.17842e+06
37,2.17213e+06,2.17213e+06
37.25,2.16594e+06,2.16594e+06
37.5,2.15899e+06,2.15899e+06
37.75,2.15191e+06,2.15191e+06
38,2.1448e+06,2.1448e+06
38.25,2.13744e+06,2.13744e+06
38.5,2.1309e+06,2.1309e+06
38.75,2.12308e+06,2.12308e+06
39,2.11567e+06,2.11567e+06
39.25,2.10773e+06,2.10773e+06
39.5,2.09969e+06,2.09969e+06
39.75,2.09148e+06,2.09148e+06
40,2.08391e+06,2.08391e+06
40.25,2.07578e+06,2.07578e+06
40.5,2.06768e+06,2.06768e+06
40.75,2.05948e+06,2.05948e+06
41,2.05196e+06,2.05196e+06
41.25,2.0431e+06,2.0431e+06
41.5,2.03492e+06,2.03492e+06
41.75,2.02761e+06,2.02761e+06
42,2.01936e+06,2.01936e+06
42.25,2.01105e+06,2.01105e+06
42.5,2.0031e+06,2.0031e+06
42.75,1.99591e+06,1.99591e+06
43,1.98854e+06,1.98854e+06
43.25,1.98152e+06,1.98152e+06
43.5,1.97482e+06,1.97482e+06
43.75,1.96847e+06,1.96847e+06
44,1.96153e+06,1.96153e+06
44.25,1.95632e+06,1.95632e+06
44.5,1.94983e+06,1.94983e+06
44.75,1.94491e+06,1.94491e+06
45,1.93984e+06,1.93984e+06
45.25,1.93625e+06,1.93625e+06
45.5,1.93151e+06,1.93151e+06
45.75,1.92691e+06,1.92691e+06
46,1.92369e+06,1.92369e+06
46.25,1.92031e+06,1.92031e+06
46.5,1.91749e+06,1.91749e+06
46.75,1.91579e+06,1.91579e+06
47,1.91442e+06,1.91442e+06
47.25,1.9132e+06,1.9132e+06
47.5,1.91298e+06,1.91298e+06
47.75,1.91244e+06,1.91244e+06
48,1.9123e+06,1.9123e+06
48.25,1.91252e+06,1.91252e+06
48.5,1.91299e+06,1.91299e+06
48.75,1.9138e+06,1.9138e+06
49,1.91495e+06,1.91495e+06
49.25,1.91662e+06,1.91662e+06
49.5,1.91862e+06,1.91862e+06
49.75,1.92132e+06,1.92132e+06
50,1.92397e+06,1.92397e+06
50.25,1.92784e+06,1.92784e+06
50.5,1.93095e+06,1.93095e+06
50.75,1.93522e+06,1.93522e+06
51,1.9398e+06,1.9398e+06
51.25,1.9442e+06,1.9442e+06
51.5,1.94871e+06,1.94871e+06
51.75,1.9538e+06,1.9538e+06
52,1.95888e+06,1.95888e+06
