Time,num_affected
0,99
0.25,99
0.5,99
0.75,103
1,112
1.25,130
1.5,157
1.75,175
2,198
2.25,228
2.5,253
2.75,271
3,306
3.25,328
3.5,364
3.75,387
4,418
4.25,444
4.5,464
4.75,491
5,515
5.25,536
5.5,570
5.75,600
6,626
6.25,662
6.5,707
6.75,750
7,807
7.25,839
7.5,883
7.75,917
8,977
8.25,1026
8.5,1082
8.75,1167
9,1221
9.25,1284
9.5,1337
9.75,1405
10,1480
10.25,1557
10.5,1642
10.75,1753
11,1867
11.25,1967
11.5,2076
11.75,2190
12,2328
12.25,2466
12.5,2599
12.75,2769
13,2896
13.25,3057
13.5,3221
13.75,3373
14,3542
14.25,3703
14.5,3879
14.75,4093
15,4305
15.25,4532
15.5,4764
15.75,5024
16,5276
16.25,5574
16.5,5871
16.75,6201
17,6513
17.25,6842
17.5,7240
17.75,7619
18,8000
18.25,8413
18.5,8852
18.75,9292
19,9747
19.25,10326
19.5,10886
19.75,11460
20,12052
20.25,12695
20.5,13366
20.75,14123
21,14881
21.25,15640
21.5,16533
21.75,17428
22,18307
22.25,19286
22.5,20249
22.75,21322
23,22497
23.25,23655
23.5,24862
23.75,26108
24,27514
24.25,28972
24.5,30498
24.75,32174
25,33800
25.25,35555
25.5,37340
25.75,39287
26,41234
26.25,43406
26.5,45811
26.75,48222
27,50813
27.25,53388
27.5,56204
27.75,59060
28,62004
28.25,65069
28.5,68400
28.75,71721
29,75326
29.25,79129
29.5,82994
29.75,87098
30,91508
30.25,96055
30.5,100668
30.75,105611
31,110696
31.25,116269
31.5,121849
31.75,127796
32,134014
32.25,140393
32.5,147036
32.75,153926
33,161059
33.25,168557
33.5,176259
33.75,184333
34,192610
34.25,201397
34.5,210390
34.75,219704
35,229078
35.25,239096
35.5,249169
35.75,259636
36,270142
36.25,281112
36.5,292417
36.75,303890
37,315474
37.25,327434
37.5,339569
37.75,352211
38,364968
38.25,378071
38.5,391199
38.75,404269
39,417548
39.25,430994
39.5,444526
39.75,458189
40,471783
40.25,485435
40.5,499113
40.75,512606
41,526224
41.25,539507
41.5,552807
41.75,565969
42,578950
42.25,592021
42.5,605037
42.75,617559
43,629951
43.25,642123
43.5,654058
43.75,665468
44,676653
44.25,687671
44.5,698326
44.75,708515
45,718562
45.25,728087
45.5,737203
45.75,746163
46,754904
46.25,763150
46.5,770964
46.75,778597
47,785823
