Time,num_cases
0,0
0.25,0
0.5,4
0.75,11
1,17
1.25,24
1.5,30
1.75,35
2,37
2.25,40
2.5,43
2.75,50
3,54
3.25,58
3.5,65
3.75,71
4,76
4.25,79
4.5,88
4.75,96
5,103
5.25,116
5.5,124
5.75,133
6,142
6.25,153
6.5,163
6.75,171
7,184
7.25,190
7.5,206
7.75,223
8,245
8.25,260
8.5,282
8.75,299
9,318
9.25,332
9.5,356
9.75,376
10,395
10.25,416
10.5,444
10.75,469
11,500
11.25,519
11.5,552
11.75,586
12,628
12.25,663
12.5,692
12.75,731
13,780
13.25,829
13.5,867
13.75,911
14,959
14.25,1018
14.5,1058
14.75,1114
15,1181
15.25,1247
15.5,1307
15.75,1372
16,1457
16.25,1530
16.5,1610
16.75,1700
17,1778
17.25,1887
17.5,2010
17.75,2110
18,2211
18.25,2330
18.5,2445
18.75,2586
19,2709
19.25,2845
19.5,2976
19.75,3125
20,3285
20.25,3460
20.5,3639
20.75,3835
21,4031
21.25,4275
21.5,4507
21.75,4733
22,4981
22.25,5230
22.5,5529
22.75,5830
23,6153
23.25,6474
23.5,6805
23.75,7159
24,7568
24.25,7994
24.5,8413
24.75,8835
25,9304
25.25,9807
25.5,10300
25.75,10826
26,11411
26.25,12043
26.5,12677
26.75,13376
27,14000
27.25,14752
27.5,15531
27.75,16346
28,17183
28.25,18145
28.5,19060
28.75,20038
29,21051
29.25,22145
29.5,23278
29.75,24495
30,25737
30.25,27032
30.5,28453
30.75,29897
31,31448
31.25,32994
31.5,34631
31.75,36341
32,38125
32.25,40148
32.5,42241
32.75,44319
33,46584
33.25,48941
33.5,51292
33.75,53834
34,56447
34.25,59280
34.5,62196
34.75,65249
35,68302
35.25,71472
35.5,74734
35.75,78281
36,82042
36.25,85990
36.5,90064
36.75,94284
37,98572
37.25,103043
37.5,107729
37.75,112495
38,117551
38.25,122692
38.5,127920
38.75,133301
39,138885
39.25,144716
39.5,150829
39.75,156888
40,163186
40.25,169760
40.5,176346
40.75,183200
41,190146
41.25,197301
41.5,204630
41.75,211904
42,219267
42.25,226842
42.5,234666
42.75,242433
43,250365
43.25,258274
43.5,266266
43.75,274326
44,282477
44.25,290655
44.5,298872
44.75,306994
45,315206
45.25,323517
45.5,331648
45.75,339901
46,348229
46.25,356142
46.5,364154
46.75,372070
47,379759
47.25,387558
47.5,395341
47.75,402778
48,410113
48.25,417305
48.5,424505
48.75,431468
49,438471
49.25,445259
49.5,451913
49.75,458306
50,464549
50.25,470742
50.5,476706
50.75,482408
51,487960
51.25,493289
51.5,498491
51.75,503585
52,508507
52.25,513226
52.5,517731
52.75,522194
53,526439
53.25,530601
53.5,534529
53.75,538392
54,541994
54.25,545516
54.5,548812
54.75,552107
55,555156
55.25,558152
55.5,561094
55.75,563916
56,566526
56.25,569059
56.5,571449
56.75,573744
57,575940
57.25,578079
57.5,580036
57.75,581887
58,583769
58.25,585435
58.5,587164
58.75,588787
59,590341
59.25,591830
59.5,593276
59.75,594613
60,595874
60.25,597069
60.5,598251
60.75,599298
61,600329
61.25,601320
61.5,602296
61.75,603222
62,604127
62.25,604943
62.5,605780
62.75,606482
63,607208
63.25,607886
63.5,608566
63.75,609223
64,609802
64.25,610355
64.5,610910
64.75,611402
65,611849
65.25,612328
65.5,612729
65.75,613188
66,613612
66.25,613986
66.5,614375
66.75,614761
67,615091
67.25,615444
67.5,615748
67.75,616030
68,616312
68.25,616615
68.5,616866
68.75,617082
69,617336
69.25,617567
69.5,617774
69.75,617975
70,618153
70.25,618334
70.5,618536
70.75,618710
71,618870
71.25,619034
71.5,619194
71.75,619316
72,619458
72.25,619578
72.5,619702
72.75,619822
73,619936
73.25,620044
73.5,620146
73.75,620251
74,620360
74.25,620459
74.5,620549
74.75,620654
75,620732
75.25,620802
75.5,620861
75.75,620917
76,621006
76.25,621084
76.5,621134
76.75,621179
77,621238
77.25,621295
77.5,621346
77.75,621412
78,621460
78.25,621509
78.5,621570
78.75,621609
79,621652
79.25,621689
79.5,621728
79.75,621771
80,621808
80.25,621838
80.5,621869
80.75,621907
81,621935
81.25,621970
81.5,621994
81.75,622019
82,622048
82.25,622074
