Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,1
1.5,1
1.75,2
2,2
2.25,2
2.5,2
2.75,2
3,2
3.25,2
3.5,2
3.75,2
4,2
4.25,2
4.5,2
4.75,3
5,6
5.25,6
5.5,6
5.75,6
6,6
6.25,6
6.5,6
6.75,6
7,6
7.25,6
7.5,6
7.75,6
8,6
8.25,7
8.5,7
8.75,7
9,8
9.25,8
9.5,8
9.75,8
10,8
10.25,8
10.5,9
10.75,9
11,9
11.25,9
11.5,11
11.75,15
12,15
12.25,16
12.5,16
12.75,17
13,17
13.25,18
13.5,18
13.75,19
14,19
14.25,20
14.5,21
14.75,22
15,23
15.25,24
15.5,28
15.75,30
16,31
16.25,34
16.5,38
16.75,40
17,42
17.25,43
17.5,48
17.75,50
18,52
18.25,54
18.5,55
18.75,59
19,60
19.25,64
19.5,68
19.75,72
20,76
20.25,81
20.5,82
20.75,86
21,90
21.25,96
21.5,101
21.75,112
22,120
22.25,122
22.5,124
22.75,135
23,140
23.25,147
23.5,155
23.75,163
24,175
24.25,189
24.5,205
24.75,224
25,240
25.25,254
25.5,269
25.75,291
26,296
26.25,313
26.5,323
26.75,341
27,362
27.25,390
27.5,409
27.75,436
28,459
28.25,478
28.5,507
28.75,542
29,569
29.25,602
29.5,643
29.75,674
30,716
30.25,752
30.5,800
30.75,837
31,867
31.25,911
31.5,950
31.75,1001
32,1036
32.25,1077
32.5,1115
32.75,1165
33,1229
33.25,1302
33.5,1369
33.75,1436
34,1514
34.25,1588
34.5,1669
34.75,1744
35,1808
35.25,1893
35.5,1995
35.75,2104
36,2217
36.25,2352
36.5,2464
36.75,2554
37,2687
37.25,2814
37.5,2943
37.75,3077
38,3235
38.25,3391
38.5,3561
38.75,3735
39,3890
39.25,4046
39.5,4208
39.75,4392
40,4574
40.25,4794
40.5,5040
40.75,5256
41,5509
41.25,5749
41.5,6003
41.75,6219
42,6479
42.25,6736
42.5,7020
42.75,7333
43,7643
43.25,7949
43.5,8251
43.75,8592
44,8922
44.25,9234
44.5,9569
44.75,9888
45,10214
45.25,10552
45.5,10888
45.75,11295
46,11688
46.25,12081
46.5,12464
46.75,12882
47,13268
47.25,13655
47.5,14030
47.75,14441
48,14799
48.25,15194
48.5,15594
48.75,15992
49,16439
49.25,16830
49.5,17244
49.75,17655
50,18043
50.25,18405
50.5,18801
50.75,19197
51,19633
51.25,20015
51.5,20446
51.75,20813
52,21171
52.25,21574
52.5,21956
52.75,22365
53,22768
53.25,23140
53.5,23503
53.75,23872
54,24194
54.25,24544
54.5,24866
54.75,25241
55,25570
55.25,25883
55.5,26219
55.75,26541
56,26861
56.25,27164
56.5,27478
56.75,27785
57,28060
57.25,28328
57.5,28637
57.75,28939
58,29238
58.25,29523
58.5,29768
58.75,30024
59,30274
59.25,30491
59.5,30741
59.75,30983
60,31182
60.25,31420
60.5,31634
60.75,31836
61,32037
61.25,32246
61.5,32411
61.75,32601
62,32783
62.25,32949
62.5,33102
62.75,33265
63,33428
63.25,33582
63.5,33763
63.75,33911
64,34055
64.25,34190
64.5,34336
64.75,34462
65,34595
65.25,34719
65.5,34833
65.75,34954
66,35064
66.25,35179
66.5,35275
66.75,35384
67,35475
67.25,35587
67.5,35684
67.75,35766
68,35871
68.25,35967
68.5,36062
68.75,36165
69,36250
69.25,36332
69.5,36410
69.75,36479
70,36548
70.25,36614
70.5,36670
70.75,36725
71,36787
71.25,36844
71.5,36895
71.75,36950
72,36999
72.25,37046
72.5,37102
72.75,37135
73,37189
73.25,37234
73.5,37268
73.75,37319
74,37354
74.25,37400
74.5,37430
74.75,37458
75,37505
75.25,37538
75.5,37577
75.75,37608
76,37647
76.25,37672
76.5,37708
76.75,37732
77,37758
77.25,37781
77.5,37802
77.75,37823
78,37843
78.25,37857
78.5,37882
78.75,37898
79,37918
79.25,37937
79.5,37952
79.75,37972
80,37988
80.25,38006
80.5,38020
80.75,38029
81,38043
81.25,38056
81.5,38066
81.75,38079
82,38096
82.25,38113
82.5,38121
82.75,38124
83,38132
83.25,38136
83.5,38139
83.75,38148
84,38152
84.25,38163
84.5,38172
84.75,38181
