Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,1
26.75,1
27,1
27.25,1
27.5,1
27.75,2
28,2
28.25,2
28.5,2
28.75,2
29,2
29.25,2
29.5,2
29.75,2
30,2
30.25,2
30.5,2
30.75,2
31,2
31.25,2
31.5,4
31.75,4
32,4
32.25,4
32.5,4
32.75,4
33,4
33.25,4
33.5,4
33.75,4
34,4
34.25,4
34.5,4
34.75,5
35,5
35.25,5
35.5,5
35.75,5
36,5
36.25,6
36.5,6
36.75,7
37,8
37.25,8
37.5,9
37.75,10
38,11
38.25,11
38.5,11
38.75,13
39,13
39.25,13
39.5,13
39.75,13
40,14
40.25,14
40.5,14
40.75,16
41,17
41.25,18
41.5,20
41.75,22
42,23
42.25,24
42.5,25
42.75,27
43,30
43.25,33
43.5,37
43.75,43
44,46
44.25,48
44.5,50
44.75,54
45,58
45.25,61
45.5,66
45.75,70
46,75
46.25,83
46.5,89
46.75,93
47,95
47.25,98
47.5,100
47.75,106
48,108
48.25,113
48.5,118
48.75,121
49,126
49.25,137
49.5,146
49.75,152
50,163
50.25,169
50.5,178
50.75,186
51,192
51.25,198
51.5,208
51.75,219
52,231
52.25,242
52.5,255
52.75,266
53,287
53.25,302
53.5,322
53.75,339
54,354
54.25,370
54.5,391
54.75,407
55,422
55.25,442
55.5,460
55.75,476
56,493
56.25,512
56.5,530
56.75,554
57,585
57.25,608
57.5,637
57.75,665
58,696
58.25,725
58.5,765
58.75,799
59,826
59.25,855
59.5,884
59.75,922
60,949
60.25,985
60.5,1015
60.75,1048
61,1086
61.25,1113
61.5,1143
61.75,1178
62,1219
62.25,1259
62.5,1301
62.75,1343
63,1378
63.25,1426
63.5,1475
63.75,1526
64,1570
64.25,1607
64.5,1647
64.75,1707
65,1766
65.25,1811
65.5,1857
65.75,1920
66,1965
66.25,2019
66.5,2063
66.75,2107
67,2164
67.25,2207
67.5,2261
67.75,2309
68,2356
68.25,2408
68.5,2462
68.75,2527
69,2606
69.25,2655
69.5,2701
69.75,2755
70,2790
70.25,2838
70.5,2880
70.75,2937
71,2991
71.25,3034
71.5,3091
71.75,3141
72,3180
72.25,3220
72.5,3270
72.75,3320
73,3354
73.25,3386
73.5,3425
73.75,3473
74,3515
74.25,3569
74.5,3608
74.75,3649
75,3675
75.25,3712
75.5,3751
75.75,3780
76,3813
76.25,3846
76.5,3890
76.75,3918
77,3948
77.25,3973
77.5,3995
77.75,4022
78,4050
78.25,4074
78.5,4100
78.75,4121
79,4149
79.25,4170
79.5,4203
79.75,4234
80,4253
80.25,4266
80.5,4295
80.75,4317
81,4337
81.25,4351
81.5,4369
81.75,4388
82,4409
82.25,4439
82.5,4452
82.75,4475
83,4488
83.25,4510
83.5,4525
83.75,4545
84,4570
84.25,4584
84.5,4600
84.75,4615
85,4638
85.25,4648
85.5,4655
85.75,4671
86,4683
86.25,4692
86.5,4705
86.75,4709
87,4720
87.25,4731
87.5,4740
87.75,4750
88,4759
88.25,4767
88.5,4776
88.75,4781
89,4785
89.25,4795
