Time,num_recovered
0,0
0.25,0
0.5,2
0.75,5
1,7
1.25,9
1.5,12
1.75,16
2,17
2.25,20
2.5,25
2.75,32
3,35
3.25,37
3.5,38
3.75,39
4,41
4.25,50
4.5,52
4.75,61
5,73
5.25,80
5.5,87
5.75,92
6,104
6.25,112
6.5,122
6.75,127
7,138
7.25,150
7.5,167
7.75,180
8,194
8.25,206
8.5,223
8.75,247
9,262
9.25,280
9.5,295
9.75,319
10,346
10.25,356
10.5,368
10.75,402
11,421
11.25,445
11.5,473
11.75,495
12,526
12.25,573
12.5,611
12.75,649
13,692
13.25,735
13.5,784
13.75,841
14,888
14.25,925
14.5,977
14.75,1030
15,1085
15.25,1142
15.5,1204
15.75,1266
16,1334
16.25,1411
16.5,1494
16.75,1568
17,1663
17.25,1757
17.5,1862
17.75,1973
18,2088
18.25,2206
18.5,2323
18.75,2470
19,2610
19.25,2743
19.5,2888
19.75,3043
20,3214
20.25,3389
20.5,3583
20.75,3760
21,3964
21.25,4179
21.5,4410
21.75,4639
22,4897
22.25,5141
22.5,5415
22.75,5722
23,6022
23.25,6326
23.5,6635
23.75,6960
24,7349
24.25,7730
24.5,8133
24.75,8531
25,8999
25.25,9435
25.5,9931
25.75,10440
26,11039
26.25,11600
26.5,12209
26.75,12851
27,13521
27.25,14188
27.5,14995
27.75,15802
28,16593
28.25,17437
28.5,18310
28.75,19238
29,20218
29.25,21312
29.5,22463
29.75,23654
30,24861
30.25,26172
30.5,27524
30.75,28938
31,30403
31.25,31993
31.5,33588
31.75,35276
32,37089
32.25,39036
32.5,41094
32.75,43197
33,45397
33.25,47754
33.5,50176
33.75,52679
34,55332
34.25,58048
34.5,60965
34.75,63965
35,67026
35.25,70329
35.5,73791
35.75,77346
36,81119
36.25,85059
36.5,89090
36.75,93286
37,97670
37.25,102269
37.5,106929
37.75,111791
38,116796
38.25,122070
38.5,127720
38.75,133311
39,139186
39.25,145274
39.5,151439
39.75,157884
40,164582
40.25,171396
40.5,178521
40.75,185713
41,193360
41.25,200827
41.5,208705
41.75,216886
42,225043
42.25,233327
42.5,241874
42.75,250770
43,259733
43.25,268970
43.5,278367
43.75,287966
44,297422
44.25,307365
44.5,317043
44.75,327061
45,337208
45.25,347628
45.5,357701
45.75,367906
46,378342
46.25,388653
46.5,399174
46.75,409785
47,420513
47.25,431006
47.5,441537
47.75,451993
48,462323
48.25,472757
48.5,483083
48.75,493297
49,503481
49.25,513605
49.5,523566
49.75,533532
50,543294
50.25,553020
50.5,562524
50.75,571985
51,581403
51.25,590525
51.5,599536
51.75,608588
52,617300
52.25,625828
52.5,634186
52.75,642321
53,650398
53.25,658372
53.5,666237
53.75,673864
54,681350
54.25,688711
54.5,696061
54.75,702946
55,709770
55.25,716186
55.5,722672
55.75,728960
56,735083
56.25,741125
56.5,746917
56.75,752610
57,758271
57.25,763595
57.5,768821
57.75,773906
58,778853
58.25,783597
58.5,788275
58.75,792720
59,797244
59.25,801426
59.5,805553
59.75,809542
60,813308
60.25,817001
60.5,820626
60.75,824104
61,827567
61.25,830845
61.5,834013
61.75,837050
62,840105
62.25,843042
62.5,845806
62.75,848528
63,851234
63.25,853792
63.5,856245
63.75,858619
64,860947
64.25,863215
64.5,865427
64.75,867491
65,869439
65.25,871410
65.5,873342
65.75,875142
66,876929
66.25,878679
66.5,880295
66.75,881855
67,883448
67.25,884857
67.5,886251
67.75,887592
68,888916
68.25,890223
68.5,891404
68.75,892550
69,893688
69.25,894826
69.5,895861
69.75,896912
70,897866
70.25,898832
70.5,899779
70.75,900620
71,901475
71.25,902286
71.5,903111
71.75,903867
72,904608
72.25,905366
72.5,906085
72.75,906763
73,907417
73.25,908038
73.5,908651
73.75,909249
74,909792
74.25,910318
74.5,910820
74.75,911298
75,911779
75.25,912227
75.5,912679
75.75,913075
76,913463
76.25,913863
76.5,914284
76.75,914650
77,915023
77.25,915376
77.5,915695
77.75,916028
78,916354
78.25,916662
78.5,916931
78.75,917204
79,917441
79.25,917685
79.5,917939
79.75,918178
80,918409
80.25,918614
80.5,918830
80.75,919036
81,919230
81.25,919419
81.5,919617
81.75,919785
82,919962
82.25,920108
