Time,ward_infected
0,2257
0.25,325350
0.5,652742
0.75,167582
1,189395
1.25,274697
1.5,81375
1.75,198672
2,253783
2.25,272854
2.5,204739
2.75,309186
3,196418
3.25,240479
3.5,135890
3.75,308563
4,333711
4.25,220879
4.5,243512
4.75,577997
5,403443
5.25,296234
5.5,123805
5.75,386395
6,339095
6.25,215449
6.5,173304
6.75,239985
7,442475
7.25,194097
7.5,227680
7.75,271429
8,204291
8.25,515134
8.5,367575
8.75,577728
9,397316
9.25,535993
9.5,530724
9.75,185032
10,528318
10.25,301458
10.5,447552
10.75,58720
11,442515
11.25,301891
11.5,342811
11.75,297409
12,256027
12.25,203914
12.5,192152
12.75,782521
