wardNo,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1,0.01659751,0.0,0.01659751,0.0,0.049792531,0.091286307,0.0,0.0,0.0,0.0,0.0,0.004149378,0.0,0.004149378,0.012448133,0.049792531,0.033195021,0.053941909,0.012448133,0.070539419,0.307053942,0.0,0.0,0.004149378,0.01659751,0.112033195,0.024896266,0.0,0.0,0.004149378,0.008298755,0.008298755,0.0,0.0,0.0,0.01659751,0.0,0.004149378,0.0,0.0,0.0,0.0,0.074688797,0.0,0.0,0.0,0.0,0.0,0.004149378,0.0,0.0,0.0
2,0.0,0.190141137,0.164935226,0.012665039,0.011547535,0.006084185,0.00041389,0.001655561,0.001448616,0.000910558,0.003021398,0.011381979,0.001738339,0.00463557,0.004470014,0.008236414,0.009146972,0.006249741,0.006953355,0.040312901,0.006456686,0.079798022,0.006332519,0.024833409,0.020818675,0.002690286,0.021315343,0.008526137,0.005380572,0.023798684,0.013699764,0.017962833,0.00922975,0.056040727,0.0037664,0.017259219,0.008733082,0.013658375,0.002276396,0.001117503,0.01345143,0.003393899,0.106742271,0.005173627,0.001324448,0.00211084,0.001283059,0.006249741,0.007822524,0.000703613,0.014237821,0.007863913
3,0.0,0.05619187,0.308115168,0.008195545,0.010190607,0.016075324,0.000502354,0.00130612,0.001033414,0.001191296,0.001349179,0.006946837,0.001334826,0.005425422,0.005612011,0.020768745,0.007693191,0.005583305,0.006415777,0.089462051,0.007994603,0.022103571,0.00275577,0.033916064,0.069009071,0.002640946,0.024098634,0.005769893,0.003301183,0.021328511,0.01324779,0.017898151,0.009056723,0.033629004,0.004923068,0.013649673,0.008941899,0.009056723,0.002540475,0.000932943,0.008296016,0.002526122,0.09250488,0.0028993,0.001277414,0.001377885,0.001090826,0.005999541,0.007291308,0.000373177,0.009602136,0.006573659
4,0.0,0.039646234,0.052881976,0.205062519,0.004940531,0.010856969,0.000243977,0.000914913,0.000975907,0.000914913,0.001097896,0.097041781,0.024885636,0.055931686,0.067215615,0.00463556,0.003232693,0.002195791,0.002134797,0.015919488,0.002378774,0.097163769,0.012137847,0.064531869,0.027203416,0.00115889,0.011588899,0.005916438,0.002866728,0.01652943,0.006465386,0.011344922,0.00347667,0.037511436,0.001646844,0.009271119,0.007502287,0.009515096,0.001219884,0.000914913,0.006892345,0.001951815,0.043610857,0.002927722,0.00115889,0.001463861,0.000853919,0.003171699,0.004025618,0.000670936,0.008112229,0.004086612
5,0.0,0.006866506,0.049154709,0.003977838,0.191646541,0.007245347,0.000236776,0.00108917,0.000615618,0.000805039,0.001278591,0.005398494,0.000710328,0.001941564,0.001041815,0.030591467,0.044655964,0.081308898,0.0290761,0.167400672,0.032580385,0.011744092,0.001799498,0.003078089,0.006866506,0.013401525,0.020504807,0.006961216,0.003078089,0.030544111,0.011933513,0.019036795,0.008666004,0.029407586,0.005493205,0.012170289,0.006440309,0.013259459,0.001752143,0.001704788,0.007671544,0.002415116,0.090211678,0.002699247,0.001657432,0.001752143,0.002130985,0.005824691,0.006677085,0.000520907,0.007860965,0.005114363
6,8.49041e-05,0.00752816,0.071262806,0.005914983,0.008037584,0.484349352,0.000283014,0.00042452,0.000141507,0.000283014,0.000990547,0.014178978,0.000820739,0.013358239,0.021197713,0.046159506,0.005292353,0.004867833,0.008405502,0.042593536,0.01695251,0.004782929,0.000764137,0.009226241,0.089488878,0.010131884,0.011688459,0.003113149,0.000849041,0.010188487,0.00752816,0.008405502,0.004499915,0.011886568,0.004726326,0.007160242,0.00356597,0.005886681,0.000650931,0.000566027,0.002773533,0.001301862,0.034216336,0.001386766,0.000339616,0.000650931,0.000566027,0.003084847,0.002575423,0.000113205,0.002801834,0.001952793
7,0.0,0.000194989,0.005654675,0.001949888,0.001072438,9.74944e-05,0.143414254,0.097884372,0.02417861,0.206200643,0.017451497,0.002339865,9.74944e-05,0.001169933,0.0,0.000487472,0.001657405,0.000682461,0.001169933,0.001754899,0.0,0.002632349,0.003607293,0.000194989,9.74944e-05,0.0,0.013844204,0.009944428,0.011699327,0.011114361,0.007019596,0.023106171,0.009456956,0.009846934,0.002339865,0.045724871,0.075168178,0.040265185,0.007507068,0.001072438,0.007799552,0.063468851,0.009456956,0.000487472,0.064151311,0.014331676,0.009749439,0.006824608,0.017354002,0.002047382,0.007507068,0.014721654
8,0.0,0.000496278,0.006253102,0.001290323,0.001439206,0.000496278,0.059007444,0.214739454,0.022382134,0.05707196,0.069330025,0.002729529,0.000397022,0.000843672,0.000148883,0.000545906,0.000794045,0.00044665,0.000694789,0.003523573,0.001588089,0.004565757,0.002531017,0.000397022,0.000595533,0.000496278,0.020347395,0.016923077,0.01955335,0.010521092,0.009181141,0.023325062,0.011116625,0.018114144,0.003126551,0.070818859,0.103573201,0.031612903,0.003225806,0.001389578,0.012704715,0.036724566,0.015186104,0.002034739,0.025210918,0.009826303,0.006898263,0.007593052,0.013101737,0.002679901,0.011563275,0.060843672
9,0.0,0.000162059,0.003079117,0.000259294,0.000615823,0.000162059,0.012186821,0.01769682,0.309694357,0.124785272,0.009107704,0.000939941,0.000226882,0.000939941,3.24118e-05,0.000453765,0.001199235,0.000810294,0.000518588,0.002495705,0.000486176,0.001717823,0.001037176,0.000259294,0.000324118,0.000291706,0.015168703,0.005477587,0.00424594,0.007422293,0.006968528,0.042815934,0.022428937,0.007065763,0.00350047,0.018215409,0.016756879,0.029883642,0.022947525,0.00129647,0.004537646,0.029267818,0.009853175,0.000810294,0.030467053,0.045895051,0.113246686,0.008880822,0.040579522,0.010566233,0.004083882,0.008135352
10,0.0,0.000669548,0.003560777,0.000365208,0.000639114,0.000334774,0.051403007,0.0418163,0.066346095,0.353429911,0.016069146,0.001491265,3.0434e-05,0.001339096,0.0,0.00045651,0.000273906,0.000426076,0.000547812,0.002769493,0.000395642,0.001734737,0.000395642,0.000182604,0.00076085,9.1302e-05,0.016921298,0.009191065,0.006269402,0.006421572,0.008734555,0.038894638,0.014090937,0.010104084,0.003865117,0.032229594,0.027634062,0.034055633,0.010621462,0.001095624,0.004747702,0.046137927,0.008430215,0.001156492,0.057763711,0.034268671,0.017651713,0.00633027,0.035029521,0.003469475,0.007395459,0.011960558
