wardNo,zipcode
44,33620
7,33548
11,33559
1,33503
28,33603
25,33596
40,33616
5,33534
22,33584
6,33547
35,33611
19,33573
34,33610
14,33566
2,33510
4,33527
36,33612
38,33614
42,33618
43,33619
50,33635
51,33637
52,33647
8,33549
13,33565
23,33592
24,33594
15,33567
16,33569
21,33579
17,33570
18,33572
27,33602
26,33598
30,33605
33,33609
49,33634
37,33613
45,33624
46,33625
48,33629
12,33563
39,33615
29,33604
3,33511
20,33578
41,33617
9,33556
10,33558
31,33606
32,33607
47,33626
